#,Wine,Country,Region,Classification,Style,Grapes
359,Castelli di Jesi Verdicchio Riserva,Italy,Marche,DOCG,White,Verdicchio
360,Castelli Romani,Italy,Lazio,DOC,White,Malvasia; Trebbiano
361,Castelo Rodrigo,Portugal,Beiras,DOC,Red,Touriga Nacional
362,Castillon-Côtes de Bordeaux,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
363,Catalunya,Spain,Catalonia,DO,Red,Various
364,Catamarca,Argentina,Catamarca,GI,White,Torrontés
365,Catoctin,United States,Maryland,AVA,Red,Cabernet Sauvignon; Chambourcin
366,Cauquenes,Chile,Central Valley,DO,Red,Carignan; País
367,Cava,Spain,Catalonia,DO,Sparkling,Macabeo; Xarel·lo; Parellada
368,Cayuga Lake,United States,New York,AVA,White,Riesling; Cabernet Franc
369,Cederberg,South Africa,Cederberg,WO,White,Sauvignon Blanc; Chenin Blanc
370,Cellatica,Italy,Lombardy,DOC,Red,Marzemino; Barbera
371,Central Delaware Valley,United States,Pennsylvania,AVA,Red,Chambourcin
372,Central Delaware Valley (NJ),United States,New Jersey,AVA,Red,Chambourcin
373,Central Hawke's Bay,New Zealand,Hawke's Bay,Regional,Red,Merlot
374,Central Orange River,South Africa,Northern Cape,WO,White,Colombard
375,Central Otago,New Zealand,Central Otago,GI,Red,Pinot Noir
376,Central Ranges,Australia,New South Wales,GI,Red,Shiraz
377,Central Slovakia,Slovakia,Stredoslovenská,PDO,Red,Blaufränkisch
378,Central Victoria,Australia,Victoria,GI,Red,Shiraz
379,Central Western Australia,Australia,Western Australia,GI,Red,Shiraz
380,Cerasuolo d'Abruzzo,Italy,Abruzzo,DOC,Rosé,Montepulciano
381,Cerasuolo di Vittoria,Italy,Sicily,DOCG,Red,Nero d'Avola; Frappato
382,Cérons,France,Bordeaux (Left Bank),AOC,Sweet White,Sémillon; Sauvignon Blanc
383,Cerveteri,Italy,Lazio,DOC,Red,Sangiovese; Montepulciano
384,Cesanese del Piglio,Italy,Lazio,DOCG,Red,Cesanese
385,Cesanese di Affile,Italy,Lazio,DOC,Red,Cesanese
386,Cesanese di Olevano Romano,Italy,Lazio,DOC,Red,Cesanese
387,Chã das Caldeiras,Cape Verde,Fogo,Regional,Red,Touriga Nacional
388,Chablais,Switzerland,Vaud,AOC,White,Chasselas
389,Chablis,France,Burgundy (Chablis),AOC,White,Chardonnay
390,Chablis Grand Cru,France,Burgundy (Chablis),AOC Grand Cru,White,Chardonnay
391,Chablis Premier Cru,France,Burgundy (Chablis),AOC Premier Cru,White,Chardonnay
392,Chacayes,Argentina,Mendoza,GI,Red,Malbec
393,Chalk Hill,United States,California (Sonoma),AVA,White,Chardonnay; Sauvignon Blanc
394,Chalone,United States,California (Central Coast),AVA,White,Chardonnay; Pinot Noir
395,Chambave Muscat,Italy,Valle d'Aosta,DOC,White,Moscato Bianco
396,Chambertin,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
397,Chambertin-Clos de Bèze,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
398,Chambolle-Musigny,France,Burgundy (Côte de Nuits),AOC,Red,Pinot Noir
399,Champagne,France,Champagne,AOC,Sparkling,Chardonnay; Pinot Noir; Meunier
400,Champagne Blanc de Blancs,France,Champagne,AOC,Sparkling,Chardonnay
401,Champagne Blanc de Noirs,France,Champagne,AOC,Sparkling,Pinot Noir; Meunier
402,Champagne Rosé,France,Champagne,AOC,Sparkling Rosé,Pinot Noir; Chardonnay
403,Champlain Valley of New York,United States,New York,AVA,Red,Marquette
404,Changli,China,Hebei,Regional,Red,Cabernet Sauvignon
405,Chania,Greece,Crete,PGI,White,Vidiano; Vilana
406,Chao Phraya Delta,Thailand,Chao Phraya,Regional,White,Malaga Blanc
407,Chapelle-Chambertin,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
408,Charmes-Chambertin,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
409,Chassagne-Montrachet,France,Burgundy (Côte de Beaune),AOC,White,Chardonnay
410,Château-Chalon,France,Jura,AOC,Vin Jaune,Savagnin
411,Château-Grillet,France,Rhône (Northern),AOC,White,Viognier
412,Châteaumeillant,France,Loire (Central),AOC,Red,Gamay; Pinot Noir
413,Châteauneuf-du-Pape,France,Rhône (Southern),AOC,Red,Grenache; Syrah; Mourvèdre
414,Châteauneuf-du-Pape Blanc,France,Rhône (Southern),AOC,White,Grenache Blanc; Roussanne
415,Châtillon-en-Diois,France,Rhône (Northern),AOC,Red,Gamay
416,Chaume,France,Loire (Anjou-Saumur),AOC Premier Cru,Sweet White,Chenin Blanc
417,Chautagne,France,Savoie & Bugey,Cru,Red,Gamay; Mondeuse Noire
418,Chaves,Portugal,Trás-os-Montes,DOC,Red,Tinta Roriz
419,Chehalem Mountains,United States,Oregon,AVA,Red,Pinot Noir
420,Chellah,Morocco,Rabat,AOG,Red,Carignan
421,Chénas,France,Beaujolais,AOC Cru,Red,Gamay
422,Chevalier-Montrachet,France,Burgundy (Côte de Beaune),AOC Grand Cru,White,Chardonnay
423,Cheverny,France,Loire (Touraine),AOC,White,Sauvignon Blanc; Chardonnay
424,Chianti,Italy,Tuscany,DOCG,Red,Sangiovese
425,Chianti Classico,Italy,Tuscany,DOCG,Red,Sangiovese
426,Chianti Classico Gran Selezione,Italy,Tuscany,DOCG,Red,Sangiovese
427,Chianti Colli Senesi,Italy,Tuscany,DOCG,Red,Sangiovese
428,Chianti Rufina,Italy,Tuscany,DOCG,Red,Sangiovese
429,Chignin,France,Savoie & Bugey,Cru,White,Jacquère
430,Chignin-Bergeron,France,Savoie & Bugey,AOC,White,Roussanne
431,Chihuahua,Mexico,Chihuahua,Regional,Red,Cabernet Sauvignon
432,Chikumagawa Wine Valley,Japan,Nagano,Regional,Red,Merlot
433,Chiles Valley,United States,California (Napa),AVA,Red,Zinfandel; Cabernet Sauvignon
434,Chinon,France,Loire (Touraine),AOC,Red,Cabernet Franc
435,Chios,Greece,Aegean Islands,PGI,White,Athiri
436,Chiroubles,France,Beaujolais,AOC Cru,Red,Gamay
437,Choapa Valley,Chile,Coquimbo,DO,Red,Syrah; Cabernet Sauvignon
438,Chorey-lès-Beaune,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
439,Chota Valley,Ecuador,Chota Valley,Regional,Red,Cabernet Sauvignon; Syrah
440,Chouilly,France,Champagne,Grand Cru village,Sparkling,Chardonnay
441,Chozas Carrascal,Spain,Valencia,DO de Pago,Red,Bobal; Tempranillo
442,Chubut,Argentina,Patagonia,GI,Red,Pinot Noir; Chardonnay
443,Chusclan,France,Rhône (Southern),AOC Villages,Rosé,Grenache; Syrah
444,Chüy Valley,Kyrgyzstan,Chüy,Regional,Red,Saperavi
445,Cienega Valley,United States,California (Central Coast),AVA,Red,Zinfandel
446,Cigales,Spain,Castilla y León,DO,Rosé,Tempranillo; Garnacha
447,Cilento,Italy,Campania,DOC,Red,Aglianico
448,Cinque Terre,Italy,Liguria,DOC,White,Bosco; Albarola; Vermentino
449,Cinque Terre Sciacchetrà,Italy,Liguria,DOC,Sweet White,Bosco; Albarola
450,Circeo,Italy,Lazio,DOC,Red,Merlot; Sangiovese
451,Cirò,Italy,Calabria,DOC,Red,Gaglioppo
452,Cisterna d'Asti,Italy,Piedmont,DOC,Red,Croatina
453,Citrusdal Mountain,South Africa,Olifants River,WO,Red,Syrah; Chenin Blanc
454,Ciumai,Moldova,Valul lui Traian,Regional,Sweet Red,Cabernet Sauvignon
455,Clairette de Bellegarde,France,Rhône (Southern),AOC,White,Clairette
456,Clairette de Die,France,Rhône (Northern),AOC,Sparkling,Muscat Blanc; Clairette
457,Clairette du Languedoc,France,Languedoc,AOC,White,Clairette
458,Clare Valley,Australia,South Australia,GI,White,Riesling; Shiraz
459,Clarksburg,United States,California (Central Valley),AVA,White,Chenin Blanc
460,Clàssic Penedès,Spain,Catalonia,DO,Sparkling,Xarel·lo; Macabeo
461,Clear Lake,United States,California (Lake),AVA,Red,Cabernet Sauvignon; Sauvignon Blanc
462,Clements Hills,United States,California (Central Valley),AVA,Red,Zinfandel
463,Clevedon,New Zealand,Auckland,Regional,Red,Merlot; Syrah
464,Clos de la Roche,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
465,Clos de Tart,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
466,Clos de Vougeot,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
467,Clos des Lambrays,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
468,Clos Saint-Denis,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
469,Coal River Valley,Australia,Tasmania,Regional,White,Riesling; Pinot Noir
470,Codru,Moldova,Codru,PGI,White,Fetească Albă; Chardonnay
471,Colares,Portugal,Lisboa,DOC,Red,Ramisco
472,Colchagua Valley,Chile,Central Valley,DO,Red,Carmenère; Cabernet Sauvignon
473,Cole Ranch,United States,California (Mendocino),AVA,White,Riesling
474,Colli Albani,Italy,Lazio,DOC,White,Malvasia; Trebbiano
475,Colli Altotiberini,Italy,Umbria,DOC,Red,Sangiovese; Merlot
476,Colli Asolani,Italy,Veneto,DOC,Red,Merlot; Cabernet Sauvignon
477,Colli Berici,Italy,Veneto,DOC,Red,Tai Rosso; Merlot
478,Colli Bolognesi,Italy,Emilia-Romagna,DOC,White,Pignoletto; Chardonnay
479,Colli Bolognesi Pignoletto,Italy,Emilia-Romagna,DOCG,White,Grechetto Gentile
480,Colli d'Imola,Italy,Emilia-Romagna,DOC,Red,Sangiovese; Barbera
481,Colli del Trasimeno,Italy,Umbria,DOC,Red,Gamay del Trasimeno
482,Colli dell'Etruria Centrale,Italy,Tuscany,DOC,Red,Sangiovese
483,Colli della Sabina,Italy,Lazio,DOC,Red,Sangiovese; Montepulciano
484,Colli di Faenza,Italy,Emilia-Romagna,DOC,Red,Sangiovese; Cabernet Sauvignon
485,Colli di Luni,Italy,Liguria,DOC,White,Vermentino
486,Colli di Parma,Italy,Emilia-Romagna,DOC,White,Malvasia di Candia Aromatica
487,Colli di Rimini,Italy,Emilia-Romagna,DOC,Red,Sangiovese; Cabernet Sauvignon
488,Colli di Scandiano e Canossa,Italy,Emilia-Romagna,DOC,White,Spergola
489,Colli Etruschi Viterbesi,Italy,Lazio,DOC,Red,Sangiovese; Montepulciano
490,Colli Euganei,Italy,Veneto,DOC,Red,Merlot; Cabernet Sauvignon
491,Colli Euganei Fior d'Arancio,Italy,Veneto,DOCG,Sweet White,Moscato Giallo
492,Colli Lanuvini,Italy,Lazio,DOC,White,Malvasia; Trebbiano
493,Colli Maceratesi,Italy,Marche,DOC,White,Maceratino
494,Colli Martani,Italy,Umbria,DOC,White,Grechetto
495,Colli Orientali del Friuli Picolit,Italy,Friuli-Venezia Giulia,DOCG,Sweet White,Picolit
496,Colli Perugini,Italy,Umbria,DOC,Red,Sangiovese
497,Colli Pesaresi,Italy,Marche,DOC,Red,Sangiovese
498,Colli Piacentini,Italy,Emilia-Romagna,DOC,White,Malvasia; Ortrugo
499,Colli Romagna Centrale,Italy,Emilia-Romagna,DOC,Red,Cabernet Sauvignon; Sangiovese
500,Colli Tortonesi,Italy,Piedmont,DOC,Red,Barbera; Croatina
501,Colli Tortonesi Timorasso,Italy,Piedmont,DOC,White,Timorasso
502,Collina Torinese,Italy,Piedmont,DOC,Red,Barbera; Freisa
503,Colline Joniche Tarantine,Italy,Puglia,DOC,Red,Primitivo
504,Colline Lucchesi,Italy,Tuscany,DOC,Red,Sangiovese; Merlot
505,Colline Novaresi,Italy,Piedmont,DOC,Red,Nebbiolo; Vespolina
506,Collio Goriziano,Italy,Friuli-Venezia Giulia,DOC,White,Friulano; Ribolla Gialla; Sauvignon
507,Collioure,France,Roussillon,AOC,Red,Grenache; Mourvèdre; Syrah
508,Colomé,Argentina,Salta,GI,Red,Malbec
509,Colonia,Uruguay,Colonia,Regional,Red,Tannat; Merlot
510,Columbia Gorge,United States,Oregon,AVA,White,Riesling; Pinot Gris
511,Columbia Gorge (WA),United States,Washington,AVA,White,Riesling
512,Columbia Valley,United States,Washington,AVA,Red,Cabernet Sauvignon; Merlot; Syrah
513,Commandaria,Cyprus,Limassol,PDO,Sweet White,Xynisteri; Mavro
514,Conca de Barberà,Spain,Catalonia,DO,Red,Trepat
515,Condado de Huelva,Spain,Andalusia,DO,White,Zalema
516,Condrieu,France,Rhône (Northern),AOC,White,Viognier
517,Conegliano Valdobbiadene Prosecco Superiore,Italy,Veneto,DOCG,Sparkling,Glera
518,Conero Riserva,Italy,Marche,DOCG,Red,Montepulciano
519,Constantia,South Africa,Coastal Region,WO,White,Sauvignon Blanc
520,Contea di Sclafani,Italy,Sicily,DOC,Red,Nero d'Avola; Perricone
521,Contessa Entellina,Italy,Sicily,DOC,White,Ansonica; Chardonnay
522,Controguerra,Italy,Abruzzo,DOC,Red,Montepulciano; Merlot
523,Coombsville,United States,California (Napa),AVA,Red,Cabernet Sauvignon
524,Coonawarra,Australia,South Australia,GI,Red,Cabernet Sauvignon
525,Copertino,Italy,Puglia,DOC,Red,Negroamaro
526,Corbières,France,Languedoc,AOC,Red,Carignan; Grenache; Syrah
527,Corbières-Boutenac,France,Languedoc,AOC,Red,Carignan; Mourvèdre
528,Corcova,Romania,Oltenia,DOC,Red,Merlot; Cabernet Sauvignon
529,Corfu,Greece,Ionian Islands,PGI,White,Kakotrygis
530,Cori,Italy,Lazio,DOC,Red,Nero Buono; Montepulciano
531,Corinth,Greece,Peloponnese,PGI,Red,Agiorgitiko
532,Cornalin du Valais,Switzerland,Valais,AOC,Red,Cornalin
533,Cornas,France,Rhône (Northern),AOC,Red,Syrah
534,Cornwall,United Kingdom,Southwest England,Regional,Sparkling,Seyval Blanc; Chardonnay
535,Corpinnat,Spain,Catalonia,Private mark,Sparkling,Xarel·lo; Macabeo
536,Cortese dell'Alto Monferrato,Italy,Piedmont,DOC,White,Cortese
537,Corti Benedettine del Padovano,Italy,Veneto,DOC,Red,Merlot; Raboso
538,Corton,France,Burgundy (Côte de Beaune),AOC Grand Cru,Red,Pinot Noir
539,Corton-Charlemagne,France,Burgundy (Côte de Beaune),AOC Grand Cru,White,Chardonnay
540,Cortona,Italy,Tuscany,DOC,Red,Syrah
541,Cortona Syrah,Italy,Tuscany,DOC,Red,Syrah
542,Costa d'Amalfi,Italy,Campania,DOC,White,Falanghina; Biancolella
543,Costa de Cantabria,Spain,Cantabria & Asturias,VT,White,Albariño
544,Coste della Sesia,Italy,Piedmont,DOC,Red,Nebbiolo; Vespolina
545,Costers del Segre,Spain,Catalonia,DO,Red,Tempranillo; Cabernet Sauvignon
546,Costières de Nîmes,France,Rhône (Southern),AOC,Red,Grenache; Syrah
547,Cosumnes River,United States,California (Central Valley),AVA,White,Chardonnay
548,Côte de Beaune-Villages,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
549,Côte de Brouilly,France,Beaujolais,AOC Cru,Red,Gamay
550,Côte de Nuits-Villages,France,Burgundy (Côte de Nuits),AOC,Red,Pinot Noir
551,Côte Roannaise,France,Loire (Auvergne),AOC,Red,Gamay
552,Côte-Rôtie,France,Rhône (Northern),AOC,Red,Syrah; Viognier
553,Coteaux Bourguignons,France,Burgundy,AOC,Red,Gamay; Pinot Noir
554,Coteaux Champenois,France,Champagne,AOC,Red,Pinot Noir
555,Coteaux d'Aix-en-Provence,France,Provence,AOC,Rosé,Grenache; Syrah; Cinsault
556,Coteaux de l'Atlas,Morocco,Meknès,AOC,Red,Syrah; Cabernet Sauvignon
557,Coteaux de l'Aubance,France,Loire (Anjou-Saumur),AOC,Sweet White,Chenin Blanc
558,Coteaux de Mascara,Algeria,Mascara,AOG,Red,Carignan; Cinsault
559,Coteaux de Mascara Ghriss,Algeria,Aïn Témouchent,AOG,Red,Carignan
560,Coteaux de Saumur,France,Loire (Anjou-Saumur),AOC,Sweet White,Chenin Blanc
561,Coteaux de Tebourba,Tunisia,Nabeul,AOC,Red,Carignan
562,Coteaux de Tlemcen,Algeria,Tlemcen,AOG,Red,Carignan; Grenache
563,Coteaux du Giennois,France,Loire (Central),AOC,White,Sauvignon Blanc
564,Coteaux du Layon,France,Loire (Anjou-Saumur),AOC,Sweet White,Chenin Blanc
565,Coteaux du Loir,France,Loire (Touraine),AOC,Red,Pineau d'Aunis
566,Coteaux du Vendômois,France,Loire (Touraine),AOC,Rosé,Pineau d'Aunis
567,Coteaux du Zaccar,Algeria,Médéa,AOG,Red,Carignan; Cinsault
568,Coteaux Varois en Provence,France,Provence,AOC,Rosé,Grenache; Syrah
569,Côtes d'Auvergne,France,Loire (Auvergne),AOC,Red,Gamay; Pinot Noir
570,Côtes de Bergerac,France,Southwest France,AOC,Red,Merlot; Cabernet Franc
571,Côtes de Bourg,France,Bordeaux (Right Bank),AOC,Red,Merlot; Malbec
572,Côtes de Duras,France,Southwest France,AOC,White,Sauvignon Blanc
573,Côtes de Montravel,France,Southwest France,AOC,Sweet White,Sémillon
574,Côtes de Provence,France,Provence,AOC,Rosé,Grenache; Cinsault; Syrah
575,Côtes de Provence Fréjus,France,Provence,AOC,Rosé,Grenache; Tibouren
576,Côtes de Provence La Londe,France,Provence,AOC,Rosé,Grenache; Cinsault
577,Côtes de Provence Notre-Dame des Anges,France,Provence,AOC,Rosé,Grenache; Cinsault
578,Côtes de Provence Pierrefeu,France,Provence,AOC,Rosé,Grenache; Cinsault
579,Côtes de Provence Sainte-Victoire,France,Provence,AOC,Rosé,Grenache; Syrah
580,Côtes de Sambre et Meuse,Belgium,Wallonia,PDO,White,Chardonnay; Pinot Gris
581,Côtes de Sambre et Meuse Rouge,Belgium,Wallonia,PDO,Red,Pinot Noir
582,Côtes de Toul,France,Lorraine,AOC,Rosé,Gamay; Pinot Noir
583,Côtes du Forez,France,Loire (Auvergne),AOC,Red,Gamay
584,Côtes du Jura,France,Jura,AOC,White,Savagnin; Chardonnay
585,Côtes du Marmandais,France,Southwest France,AOC,Red,Merlot; Abouriou
586,Côtes du Rhône,France,Rhône (Southern),AOC,Red,Grenache; Syrah; Carignan
587,Côtes du Rhône Villages,France,Rhône (Southern),AOC,Red,Grenache; Syrah; Mourvèdre
588,Côtes du Roussillon,France,Roussillon,AOC,Red,Grenache; Syrah; Carignan
589,Côtes du Roussillon Villages,France,Roussillon,AOC,Red,Grenache; Carignan; Syrah
590,Cotești,Romania,Moldovan Hills,DOC,Red,Fetească Neagră; Merlot
591,Cotnari,Romania,Moldovan Hills,DOC,Sweet White,Grasă de Cotnari; Tămâioasă Românească
592,Coulée de Serrant,France,Loire (Anjou-Saumur),AOC,White,Chenin Blanc
593,Cour-Cheverny,France,Loire (Touraine),AOC,White,Romorantin
594,Cova da Beira,Portugal,Beiras,DOC,Red,Rufete; Touriga Nacional
595,Covelo,United States,California (Mendocino),AVA,Red,Pinot Noir
596,Cowichan Valley,Canada,British Columbia,BC GI,White,Ortega
597,Cowra,Australia,New South Wales,GI,White,Chardonnay
598,Cramant,France,Champagne,Grand Cru village,Sparkling,Chardonnay
599,Cream Sherry,Spain,Andalusia,DO,Fortified,Palomino; Pedro Ximénez
600,Creek Shores,Canada,Ontario,VQA,White,Chardonnay
601,Crémant d'Alsace,France,Alsace,AOC,Sparkling,Pinot Blanc; Auxerrois; Chardonnay
602,Crémant de Bordeaux,France,Bordeaux,AOC,Sparkling,Sémillon; Cabernet Franc
603,Crémant de Bourgogne,France,Burgundy,AOC,Sparkling,Chardonnay; Pinot Noir
604,Crémant de Die,France,Rhône (Northern),AOC,Sparkling,Clairette
605,Crémant de Limoux,France,Languedoc,AOC,Sparkling,Chardonnay; Chenin Blanc
606,Crémant de Loire,France,Loire (Anjou-Saumur),AOC,Sparkling,Chenin Blanc; Cabernet Franc
607,Crémant de Luxembourg,Luxembourg,Moselle,AOP,Sparkling,Rivaner; Pinot Blanc
608,Crémant de Wallonie,Belgium,Wallonia,PDO,Sparkling,Chardonnay; Pinot Noir
609,Crémant du Jura,France,Jura,AOC,Sparkling,Chardonnay; Pinot Noir
610,Cremisan Valley,Palestine,Bethlehem,Regional,White,Dabouki; Jandali; Hamdani
611,Crépy,France,Savoie & Bugey,AOC,White,Chasselas
612,Creston District,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon
613,Cricova,Moldova,Codru,Regional,Sparkling,Chardonnay; Pinot Noir
614,Crimea,Russia,Crimea,PGI,Fortified,Muscat; Kokur
615,Criots-Bâtard-Montrachet,France,Burgundy (Côte de Beaune),AOC Grand Cru,White,Chardonnay
616,Cromwell Basin,New Zealand,Central Otago,GI,Red,Pinot Noir
617,Crozes-Hermitage,France,Rhône (Northern),AOC,Red,Syrah
618,Cruet,France,Savoie & Bugey,Cru,White,Jacquère
619,Csongrád,Hungary,Duna,PDO,Red,Kékfrankos
620,Cumberland Valley,United States,Pennsylvania,AVA,Red,Chambourcin
621,Curicó Valley,Chile,Central Valley,DO,Red,Cabernet Sauvignon; Sauvignon Blanc
622,Currency Creek,Australia,South Australia,GI,Red,Cabernet Sauvignon
623,Curtefranca,Italy,Lombardy,DOC,Red,Cabernet Sauvignon; Merlot
624,Cviček,Slovenia,Posavje,PDO,Rosé,Žametovka; Modra Frankinja
625,Đà Lạt,Vietnam,Lâm Đồng,Regional,Red,Cardinal; Cabernet Sauvignon
626,Dafnes,Greece,Crete,PDO,Red,Liatiko
627,Dagestan,Russia,Dagestan,PGI,Fortified,Rkatsiteli; Muscat
628,Dahlonega Plateau,United States,Georgia (US),AVA,Red,Cabernet Franc; Chambourcin
629,Đakovo,Croatia,Slavonia & Danube,PDO,White,Graševina
630,Danish Wine,Denmark,Zealand,PGI,White,Solaris; Rondo
631,Danubian Plain,Bulgaria,Danubian Plain,PDO,Red,Gamza; Cabernet Sauvignon
632,Dão,Portugal,Dão,DOC,Red,Touriga Nacional; Jaen; Alfrocheiro
633,Dão Branco,Portugal,Dão,DOC,White,Encruzado
634,Dão Serra da Estrela,Portugal,Dão,DOC,Red,Touriga Nacional
635,Dão Silgueiros,Portugal,Dão,DOC,Red,Touriga Nacional; Jaen
636,Darling,South Africa,Coastal Region,WO,White,Sauvignon Blanc
637,Dealu Mare,Romania,Muntenia,DOC,Red,Fetească Neagră; Cabernet Sauvignon
638,Debrői Hárslevelű,Hungary,Eger,PDO,White,Hárslevelű
639,Dehesa del Carrizal,Spain,Castilla-La Mancha,DO de Pago,Red,Cabernet Sauvignon; Syrah
640,Deidesheimer Hohenmorgen,Germany,Pfalz,Einzellage,White,Riesling
641,Delia Nivolelli,Italy,Sicily,DOC,Red,Nero d'Avola; Merlot
642,Delle Venezie,Italy,Friuli-Venezia Giulia,DOC,White,Pinot Grigio
643,Denizli,Turkey,Aegean,Regional,Red,Çalkarası
644,Denmark (WA),Australia,Western Australia,GI,Red,Pinot Noir; Chardonnay
645,Derwent Valley,Australia,Tasmania,Regional,White,Riesling; Pinot Noir
646,Deutscher Sekt b.A.,Germany,National,Quality sparkling,Sparkling,Riesling; Weissburgunder
647,Devín,Slovakia,National,Grape wine,White,Devín
648,Devon,United Kingdom,Southwest England,Regional,White,Bacchus; Solaris
649,Devon Valley,South Africa,Coastal Region,WO,Red,Cabernet Sauvignon
650,Dézaley,Switzerland,Vaud,Grand Cru,White,Chasselas
651,Diablo Grande,United States,California (Central Valley),AVA,Red,Syrah
652,Diamond Mountain District,United States,California (Napa),AVA,Red,Cabernet Sauvignon
653,Dimi,Georgia,Imereti,PDO,White,Tsolikouri
654,Dingač,Croatia,Dalmatia,PDO,Red,Plavac Mali
655,Divin,Moldova,Divin,PGI,Fortified,Ugni Blanc
656,Diyarbakır,Turkey,Southeastern Anatolia,Regional,Red,Boğazkere
657,Dodoma,Tanzania,Dodoma,Regional,Red,Makutupora; Chenin Blanc
658,Dogliani,Italy,Piedmont,DOCG,Red,Dolcetto
659,Dolcetto d'Acqui,Italy,Piedmont,DOC,Red,Dolcetto
660,Dolcetto d'Alba,Italy,Piedmont,DOC,Red,Dolcetto
661,Dolcetto d'Asti,Italy,Piedmont,DOC,Red,Dolcetto
662,Dolcetto di Diano d'Alba,Italy,Piedmont,DOCG,Red,Dolcetto
663,Dolcetto di Ovada,Italy,Piedmont,DOC,Red,Dolcetto
664,Dolcetto di Ovada Superiore,Italy,Piedmont,DOCG,Red,Dolcetto
665,Dôle,Switzerland,Valais,AOC,Red,Pinot Noir; Gamay
666,Dolenjska,Slovenia,Posavje,PDO,Rosé,Žametovka
667,Dominio de Valdepusa,Spain,Castilla-La Mancha,DO de Pago,Red,Syrah; Petit Verdot
668,Donnas,Italy,Valle d'Aosta,DOC,Red,Nebbiolo
669,Dorset,United Kingdom,Southwest England,Regional,Sparkling,Chardonnay; Pinot Noir
670,Dorsheimer Goldloch,Germany,Nahe,Einzellage,White,Riesling
671,Douglas,South Africa,Northern Cape,WO,White,Colombard
672,Douro,Portugal,Douro,DOC,Red,Touriga Nacional; Touriga Franca; Tinta Roriz
673,Douro Baixo Corgo,Portugal,Douro,DOC,Red,Touriga Franca; Tinta Roriz
674,Douro Branco,Portugal,Douro,DOC,White,Rabigato; Viosinho; Gouveio
675,Douro Cima Corgo,Portugal,Douro,DOC,Red,Touriga Nacional; Touriga Franca
676,Douro Superior,Portugal,Douro,DOC,Red,Touriga Nacional; Touriga Franca
677,Drăgășani,Romania,Oltenia,DOC,White,Crâmpoșie Selecționată
678,Drama,Greece,Macedonia,PGI,Red,Cabernet Sauvignon; Agiorgitiko
679,Dry Creek Valley,United States,California (Sonoma),AVA,Red,Zinfandel
680,Duché d'Uzès,France,Rhône (Southern),AOC,Red,Syrah; Grenache
681,Dundee Hills,United States,Oregon,AVA,Red,Pinot Noir
682,Dunnigan Hills,United States,California (Central Valley),AVA,Red,Syrah; Cabernet Sauvignon
683,Durazno,Uruguay,Durazno,Regional,Red,Tannat
684,Durbanville,South Africa,Coastal Region,WO,White,Sauvignon Blanc; Merlot
685,Eagle Foothills,United States,Idaho,AVA,Red,Syrah; Viognier
686,Eagle Peak Mendocino County,United States,California (Mendocino),AVA,Red,Zinfandel
687,Early Melnik (Ranna Melnishka),Bulgaria,Struma Valley,PDO,Red,Early Melnik
688,East Coast Tasmania,Australia,Tasmania,Regional,Red,Pinot Noir
689,Eastern Plains Inland and North of Western Australia,Australia,Western Australia,GI,Red,Shiraz
690,Eastern Slovakia,Slovakia,Východoslovenská,PDO,White,Welschriesling
691,Échézeaux,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
692,Edelzwicker,France,Alsace,AOC,White,Field blend
693,Eden Valley,Australia,South Australia,GI,White,Riesling; Shiraz
694,Edna Valley,United States,California (Central Coast),AVA,White,Chardonnay; Pinot Noir
695,Egri Bikavér,Hungary,Eger,PDO,Red,Kékfrankos; Kadarka
696,Egri Csillag,Hungary,Eger,PDO,White,Field blend
697,Eichberg,France,Alsace,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
698,Eisenberg,Austria,Burgenland,DAC,Red,Blaufränkisch
699,Eiswein,Germany,National,Prädikat,Sweet White,Riesling
700,El Cepillo,Argentina,Mendoza,GI,Red,Malbec
701,El Dorado,United States,California (Sierra Foothills),AVA,Red,Zinfandel; Syrah
702,El Hierro,Spain,Canary Islands,DO,White,Vijariego
703,El Peral,Argentina,Mendoza,GI,Red,Malbec
704,El Pomar District,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon
705,El Terrerazo,Spain,Valencia,DO de Pago,Red,Bobal
706,Elazığ,Turkey,Eastern Anatolia,Regional,Red,Öküzgözü; Boğazkere
707,Elba,Italy,Tuscany,DOC,White,Ansonica; Trebbiano Toscano
