#,Variety,Colour,Origin,Synonyms,Wines,Countries,Where grown,Note
349,Riesling,White,Germany (Rhine),Rhine Riesling; Ryzlink Rýnský; Klingelberger,170,18,Australia; Austria; Canada; Chile; Colombia; Czechia; France; Germany; Hungary; Italy; Luxembourg; Netherlands; New Zealand; Poland; Russia; Slovakia; Ukraine; United States,"Holds acidity at any ripeness, which is why it ages for decades."
350,Riesling Lion,White,Japan,,1,1,Japan,
351,Rkatsiteli,White,Georgia,,12,6,Georgia; Kyrgyzstan; Russia; Tajikistan; Turkmenistan; Uzbekistan,One of the oldest cultivated varieties still in commercial use.
352,Robola,White,Greece (Cephalonia),,2,1,Greece,
353,Roditis,Pink,Greece,,5,1,Greece,
354,Romé,Red,Spain (Andalusia),,1,1,Spain,
355,Romorantin,White,France (Loire),,1,1,France,Grown almost nowhere but Cour-Cheverny.
356,Rondinella,Red,Italy (Veneto),,8,1,Italy,
357,Rondo,Red,Czechia,,5,3,Denmark; Ireland; Sweden,Hybrid.
358,Rossese,Red,Italy (Liguria),,1,1,Italy,
359,Roter Veltliner,White,Austria,,1,1,Austria,
360,Rotgipfler,White,Austria,,1,1,Austria,
361,Roupeiro,White,Portugal (Alentejo),Síria,1,1,Portugal,
362,Roussanne,White,France (Rhône),,5,1,France,
363,Rubin,Red,Bulgaria,,1,1,Bulgaria,"Nebbiolo x Syrah, bred in Bulgaria in 1944."
364,Ruby Cabernet,Red,United States,,2,1,Namibia,Cabernet Sauvignon x Carignan.
365,Ruchè,Red,Italy (Piedmont),,1,1,Italy,
366,Rufete,Red,Portugal,,3,2,Portugal; Spain,
367,Rumeni Muškat,White,Greece,,1,1,Slovenia,Slovenian Yellow Muscat.
368,Ryzlink,White,Central Europe,,1,1,Czechia,Generic Czech term for Riesling-named varieties.
369,Sagrantino,Red,Italy (Umbria),,2,1,Italy,Among the most tannic varieties measured anywhere.
370,Sangiovese,Red,Italy (Tuscany),Sangiovese Grosso; Prugnolo Gentile; Brunello; Nielluccio,71,4,Australia; France; Italy; San Marino,Italy's most planted grape; Corsica's Nielluccio is the same variety.
371,Saperavi,Red,Georgia,,12,5,Georgia; Kazakhstan; Kyrgyzstan; Moldova; Ukraine,A teinturier with red flesh; Georgia's principal red.
372,Sauvignon Blanc,White,France (Loire),Sauvignon,71,14,Australia; Austria; Brazil; Chile; Colombia; France; Israel; Italy; Kenya; Myanmar; New Zealand; South Africa; Spain; United States,
373,Savagnin,White,France (Jura),Traminer; Heida; Païen; Savagnin Blanc,11,6,Austria; France; Romania; Serbia; Switzerland; Ukraine,"The Vin Jaune grape, and ancestor of Gewürztraminer."
374,Savatiano,White,Greece (Attica),,4,1,Greece,The Retsina grape and Greece's most planted variety.
375,Schiava,Red,Italy (Alto Adige),Trollinger; Vernatsch,8,2,Germany; Italy,
376,Schioppettino,Red,Italy (Friuli),Ribolla Nera,1,1,Italy,
377,Sciaccarello,Red,Italy (Tuscany),Mammolo,4,1,France,Corsica's name for Tuscany's Mammolo.
378,Sciascinoso,Red,Italy (Campania),,1,1,Italy,
379,Semidano,White,Italy (Sardinia),,1,1,Italy,
380,Sémillon,White,France (Bordeaux),Semillon; Semillón,25,5,Argentina; Australia; France; Italy; South Africa,"Botrytis-prone, which is exactly why Sauternes exists."
381,Sercial,White,Portugal (Madeira),,1,1,Portugal,The driest of the Madeira grapes.
382,Seyval Blanc,White,France,Seyval,6,4,Canada; Poland; United Kingdom; United States,Hybrid.
383,Shesh i Bardhë,White,Albania,,1,1,Albania,
384,Shesh i Zi,Red,Albania,,1,1,Albania,
385,Shiroka Melnishka Loza,Red,Bulgaria,,1,1,Bulgaria,
386,Siegerrebe,Pink,Germany,,1,1,United States,
387,Síria,White,Portugal,,1,1,Portugal,
388,Solaris,White,Germany,,19,8,Belgium; Denmark; Ireland; Netherlands; Norway; Poland; Sweden; United Kingdom,Hybrid bred for cold climates; the reason Scandinavia has vineyards.
389,Spergola,White,Italy (Emilia),,1,1,Italy,
390,Stanušina,Red,North Macedonia,,1,1,North Macedonia,
391,Stavroto,Red,Greece (Thessaly),,1,1,Greece,
392,Sultaniye,White,Turkey,,1,1,Turkey,"Sultana / Thompson Seedless, vinified in the Aegean."
393,Svatovavřinecké,Red,Austria,St. Laurent,3,1,Czechia,
394,Sylvaner,White,Central Europe,Silvaner,10,4,France; Germany; Italy; Switzerland,
395,Syrah,Red,France (Rhône),Shiraz,230,29,Argentina; Australia; Brazil; Cambodia; Canada; Chile; Ecuador; Ethiopia; France; Greece; India; Israel; Italy; Kenya; Lebanon; Malta; Mexico; Morocco; Myanmar; New Zealand; Portugal; South Africa; Spain; Switzerland; Thailand; Tunisia; Turkey; United States; Venezuela,"One grape, two names; the name signals intended style more than genetics."
396,Tai Rosso,Red,Spain (Aragón),,1,1,Italy,Grenache under a Veneto name.
397,Tannat,Red,France (SW),,22,7,Argentina; Bolivia; Brazil; France; Paraguay; Peru; Uruguay,"Uruguay's national grape, softer there than in its native Madiran."
398,Tavkveri,Red,Georgia,,1,1,Georgia,
399,Tempranillo,Red,Spain (Rioja),Tinta Roriz; Aragonez; Tinto Fino; Cencibel; Tinta de Toro; Ull de Llebre,53,5,Mexico; Portugal; Spain; United States; Venezuela,"Spain's noble red, with a different name in nearly every region that grows it."
400,Terbash,White,Turkmenistan,,1,1,Turkmenistan,
401,Teroldego,Red,Italy (Trentino),,1,1,Italy,
402,Terrano,Red,Italy (Friuli),Refošk; Teran,5,3,Croatia; Italy; Slovenia,Related to but distinct from Refosco dal Peduncolo Rosso.
403,Terrantez,White,Portugal (Madeira),,1,1,Portugal,Nearly extinct; a few hectares survive.
404,Thrapsathiri,White,Greece (Crete),,1,1,Greece,
405,Tibouren,Red,France (Provence),,1,1,France,
406,Timorasso,White,Italy (Piedmont),,1,1,Italy,Rescued from near-extinction in the 1980s.
407,Tinta Barroca,Red,Portugal (Douro),Tinta Barocca,4,2,Portugal; South Africa,
408,Tinta Miúda,Red,Spain (Rioja),,1,1,Portugal,
409,Tintilia,Red,Italy (Molise),,1,1,Italy,
410,Torrontés Riojano,White,Argentina,Torrontés,5,1,Argentina,A Muscat of Alexandria x País crossing born in Argentina.
411,Touriga Franca,Red,Portugal (Douro),,12,1,Portugal,The most planted grape in the Douro.
412,Touriga Nacional,Red,Portugal (Douro),,18,3,Cape Verde; Portugal; South Africa,"Portugal's flagship red, for Port and increasingly for table wine."
413,Traminac,Pink,Italy (Alto Adige),,1,1,Croatia,Croatian name for Gewürztraminer.
414,Traminette,White,United States,,1,1,United States,Gewürztraminer x Joannes Seyve; Indiana's signature white.
415,Trebbiano Abruzzese,White,Italy (Abruzzo),,2,1,Italy,
416,Trebbiano Romagnolo,White,Italy (Emilia-Romagna),,1,1,Italy,
417,Trebbiano Spoletino,White,Italy (Umbria),,2,1,Italy,
418,Trebbiano Toscano,White,Italy (Tuscany),Trebbiano; Ugni Blanc; Procanico,25,3,France; Italy; Moldova,The base of both Vin Santo and Cognac.
419,Treixadura,White,Spain (Galicia),Trajadura,5,2,Portugal; Spain,
420,Trepat,Red,Spain (Catalonia),,1,1,Spain,
421,Trincadeira,Red,Portugal (Alentejo),Tinta Amarela,12,1,Portugal,
422,Trousseau,Red,France (Jura),Bastardo,1,1,France,
423,Tsimlyansky Cherny,Red,Russia (Don),,1,1,Russia,
424,Tsitska,White,Georgia (Imereti),,1,1,Georgia,
425,Tsolikouri,White,Georgia (Imereti),,3,1,Georgia,
426,Turbiana,White,Italy (Lombardy),Trebbiano di Lugana,1,1,Italy,
427,Verdeca,White,Italy (Puglia),,2,1,Italy,
428,Verdejo,White,Spain (Rueda),,1,1,Spain,
429,Verdejo Negro,Red,Spain (Asturias),,1,1,Spain,
430,Verdelho,White,Portugal (Madeira),,10,2,Australia; Portugal,
431,Verdesse,White,France (Savoie),,0,0,,
432,Verdicchio,White,Italy (Marche),Trebbiano di Soave,6,1,Italy,Genetically identical to the Veneto's Trebbiano di Soave.
433,Verduzzo Friulano,White,Italy (Friuli),,1,1,Italy,
434,Vermentino,White,Italy (Liguria),Rolle; Vermentinu; Pigato; Favorita,10,2,France; Italy,
435,Vernaccia di Oristano,White,Italy (Sardinia),,1,1,Italy,
436,Vernaccia di San Gimignano,White,Italy (Tuscany),,1,1,Italy,
437,Vernaccia Nera,Red,Italy (Marche),,2,1,Italy,
438,Vertzami,Red,Greece (Lefkada),,1,1,Greece,
439,Vespaiola,White,Italy (Veneto),,1,1,Italy,
440,Vespolina,Red,Italy (Piedmont),,5,1,Italy,
441,Vidal,White,France,Vidal Blanc,7,3,Canada; China; United States,Hybrid; the workhorse of Canadian icewine.
442,Vidiano,White,Greece (Crete),,2,1,Greece,
443,Vignoles,White,France,,1,1,United States,Hybrid.
444,Vijariego,White,Spain (Canary Islands),,1,1,Spain,
445,Vilana,White,Greece (Crete),,2,1,Greece,
446,Villard,White,France,,2,1,Madagascar,Hybrid.
447,Vinhão,Red,Portugal (Minho),Sousão,1,1,Portugal,
448,Viognier,White,France (Rhône),,6,3,France; India; United States,Down to about 14 hectares worldwide in the 1960s.
449,Viosinho,White,Portugal (Douro),,1,1,Portugal,
450,Vischoqueña,Red,Bolivia,,1,1,Bolivia,
451,Vitis amurensis,Red,China,,1,1,China,"A cold-hardy wild Asian species, not a vinifera variety."
452,Vitovska,White,Slovenia,,1,1,Italy,
453,Viura,White,Spain (Rioja),Macabeo; Macabeu,7,2,France; Spain,
454,Voskehat,White,Armenia,,1,1,Armenia,
455,Vranac,Red,Montenegro,Vranec,7,4,Kosovo; Montenegro; North Macedonia; Serbia,
456,Vugava,White,Croatia (Vis),,1,1,Croatia,
457,Welschriesling,White,Central Europe,Olaszrizling; Laški Rizling; Graševina; Riesling Italian; Italian Riesling; Ryzlink Vlašský,28,8,Austria; Croatia; Czechia; Hungary; Romania; Serbia; Slovakia; Slovenia,No relation to Riesling despite the name.
458,Xarel·lo,White,Spain (Catalonia),Pansa Blanca,6,1,Spain,
459,Xinomavro,Red,Greece (Macedonia),,5,1,Greece,"Pale, tannic and slow — Greece's answer to Nebbiolo."
460,Xynisteri,White,Cyprus,,5,1,Cyprus,
461,Zalema,White,Spain (Andalusia),,1,1,Spain,
462,Žametovka,Red,Slovenia,,2,1,Slovenia,"Home to the world's oldest living grapevine, in Maribor."
463,Zelen,White,Slovenia (Vipava),,1,1,Slovenia,
464,Zghihară de Huși,White,Romania,,1,1,Romania,
465,Zierfandler,White,Austria,,1,1,Austria,
466,Žilavka,White,Bosnia and Herzegovina,,1,1,Bosnia and Herzegovina,
467,Zinfandel,Red,Croatia,Primitivo; Crljenak Kaštelanski; Tribidrag,32,2,Italy; United States,"Zinfandel, Primitivo and Croatia's Tribidrag are one grape, settled by DNA in 2001."
468,Žlahtina,White,Croatia (Krk),,1,1,Croatia,
469,Zweigelt,Red,Austria,,3,1,Austria,"Blaufränkisch x St. Laurent, bred 1922; Austria's most planted red."
