Country,Region,Wine,Classification,Style,Grapes
Ethiopia,Rift Valley,Ziway,Regional,Red,Syrah; Cabernet Sauvignon
France,Alsace,Alsace,AOC,White,Riesling; Gewurztraminer; Pinot Gris
France,Alsace,Alsace Grand Cru,AOC Grand Cru,White,Riesling; Gewurztraminer; Pinot Gris; Muscat
France,Alsace,Alsace Sélection de Grains Nobles,AOC,Sweet White,Riesling; Gewurztraminer; Pinot Gris
France,Alsace,Alsace Vendanges Tardives,AOC,Sweet White,Riesling; Gewurztraminer; Pinot Gris
France,Alsace,Altenberg de Bergbieten,AOC Grand Cru,White,Riesling
France,Alsace,Altenberg de Bergheim,AOC Grand Cru,White,Riesling; Gewurztraminer
France,Alsace,Altenberg de Wolxheim,AOC Grand Cru,White,Riesling
France,Alsace,Brand,AOC Grand Cru,White,Riesling; Gewurztraminer
France,Alsace,Bruderthal,AOC Grand Cru,White,Riesling; Gewurztraminer
France,Alsace,Crémant d'Alsace,AOC,Sparkling,Pinot Blanc; Auxerrois; Chardonnay
France,Alsace,Edelzwicker,AOC,White,Field blend
France,Alsace,Eichberg,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
France,Alsace,Engelberg,AOC Grand Cru,White,Riesling
France,Alsace,Florimont,AOC Grand Cru,White,Riesling; Gewurztraminer
France,Alsace,Frankstein,AOC Grand Cru,White,Riesling
France,Alsace,Froehn,AOC Grand Cru,White,Gewurztraminer
France,Alsace,Furstentum,AOC Grand Cru,White,Gewurztraminer; Riesling
France,Alsace,Geisberg,AOC Grand Cru,White,Riesling
France,Alsace,Gentil,AOC,White,Riesling; Gewurztraminer; Pinot Gris; Muscat
France,Alsace,Gloeckelberg,AOC Grand Cru,White,Pinot Gris; Gewurztraminer
France,Alsace,Goldert,AOC Grand Cru,White,Muscat Blanc à Petits Grains; Gewurztraminer
France,Alsace,Hatschbourg,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
France,Alsace,Hengst,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
France,Alsace,Kaefferkopf,AOC Grand Cru,White,Gewurztraminer; Riesling
France,Alsace,Kanzlerberg,AOC Grand Cru,White,Riesling; Gewurztraminer
France,Alsace,Kastelberg,AOC Grand Cru,White,Riesling
France,Alsace,Kessler,AOC Grand Cru,White,Gewurztraminer; Riesling
France,Alsace,Kirchberg de Barr,AOC Grand Cru,White,Riesling; Gewurztraminer
France,Alsace,Kirchberg de Ribeauvillé,AOC Grand Cru,White,Riesling
France,Alsace,Kitterlé,AOC Grand Cru,White,Riesling; Gewurztraminer
France,Alsace,Mambourg,AOC Grand Cru,White,Gewurztraminer
France,Alsace,Mandelberg,AOC Grand Cru,White,Riesling; Gewurztraminer
France,Alsace,Marckrain,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
France,Alsace,Moenchberg,AOC Grand Cru,White,Riesling; Pinot Gris
France,Alsace,Muenchberg,AOC Grand Cru,White,Riesling
France,Alsace,Ollwiller,AOC Grand Cru,White,Riesling
France,Alsace,Osterberg,AOC Grand Cru,White,Riesling
France,Alsace,Pfersigberg,AOC Grand Cru,White,Gewurztraminer; Riesling
France,Alsace,Pfingstberg,AOC Grand Cru,White,Riesling
France,Alsace,Pinot Noir d'Alsace,AOC,Red,Pinot Noir
France,Alsace,Praelatenberg,AOC Grand Cru,White,Riesling
France,Alsace,Rangen,AOC Grand Cru,White,Riesling; Pinot Gris
France,Alsace,Rosacker,AOC Grand Cru,White,Riesling
France,Alsace,Saering,AOC Grand Cru,White,Riesling
France,Alsace,Schlossberg,AOC Grand Cru,White,Riesling
France,Alsace,Schoenenbourg,AOC Grand Cru,White,Riesling
France,Alsace,Sommerberg,AOC Grand Cru,White,Riesling
France,Alsace,Sonnenglanz,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
France,Alsace,Spiegel,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
France,Alsace,Sporen,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
France,Alsace,Steinert,AOC Grand Cru,White,Pinot Gris; Gewurztraminer
France,Alsace,Steingrubler,AOC Grand Cru,White,Gewurztraminer; Riesling
France,Alsace,Steinklotz,AOC Grand Cru,White,Riesling
France,Alsace,Vorbourg,AOC Grand Cru,White,Riesling; Muscat Blanc à Petits Grains
France,Alsace,Wiebelsberg,AOC Grand Cru,White,Riesling
France,Alsace,Wineck-Schlossberg,AOC Grand Cru,White,Riesling
France,Alsace,Winzenberg,AOC Grand Cru,White,Riesling
France,Alsace,Zinnkoepflé,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
France,Alsace,Zotzenberg,AOC Grand Cru,White,Sylvaner
France,Beaujolais,Beaujolais,AOC,Red,Gamay
France,Beaujolais,Beaujolais Nouveau,AOC,Red,Gamay
France,Beaujolais,Beaujolais-Villages,AOC,Red,Gamay
France,Beaujolais,Brouilly,AOC Cru,Red,Gamay
France,Beaujolais,Chénas,AOC Cru,Red,Gamay
France,Beaujolais,Chiroubles,AOC Cru,Red,Gamay
France,Beaujolais,Côte de Brouilly,AOC Cru,Red,Gamay
France,Beaujolais,Fleurie,AOC Cru,Red,Gamay
France,Beaujolais,Juliénas,AOC Cru,Red,Gamay
France,Beaujolais,Morgon,AOC Cru,Red,Gamay
France,Beaujolais,Moulin-à-Vent,AOC Cru,Red,Gamay
France,Beaujolais,Régnié,AOC Cru,Red,Gamay
France,Beaujolais,Saint-Amour,AOC Cru,Red,Gamay
France,Bordeaux,Bordeaux Blanc,AOC,White,Sauvignon Blanc; Sémillon; Muscadelle
France,Bordeaux,Bordeaux Clairet,AOC,Rosé,Merlot; Cabernet Franc
France,Bordeaux,Bordeaux Rosé,AOC,Rosé,Merlot; Cabernet Sauvignon
France,Bordeaux,Bordeaux Rouge,AOC,Red,Merlot; Cabernet Sauvignon; Cabernet Franc
France,Bordeaux,Bordeaux Supérieur,AOC,Red,Merlot; Cabernet Sauvignon
France,Bordeaux,Crémant de Bordeaux,AOC,Sparkling,Sémillon; Cabernet Franc
France,Bordeaux (Entre-Deux-Mers),Cadillac,AOC,Sweet White,Sémillon; Sauvignon Blanc
France,Bordeaux (Entre-Deux-Mers),Entre-Deux-Mers,AOC,White,Sauvignon Blanc; Sémillon
France,Bordeaux (Entre-Deux-Mers),Graves de Vayres,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Entre-Deux-Mers),Loupiac,AOC,Sweet White,Sémillon; Sauvignon Blanc
France,Bordeaux (Entre-Deux-Mers),Sainte-Croix-du-Mont,AOC,Sweet White,Sémillon; Sauvignon Blanc
France,Bordeaux (Entre-Deux-Mers),Sainte-Foy-Côtes de Bordeaux,AOC,Red,Merlot; Cabernet Sauvignon
France,Bordeaux (Left Bank),Barsac,AOC,Sweet White,Sémillon; Sauvignon Blanc
France,Bordeaux (Left Bank),Cérons,AOC,Sweet White,Sémillon; Sauvignon Blanc
France,Bordeaux (Left Bank),Graves,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Graves Blanc,AOC,White,Sauvignon Blanc; Sémillon
France,Bordeaux (Left Bank),Graves Supérieures,AOC,Sweet White,Sémillon; Sauvignon Blanc
France,Bordeaux (Left Bank),Haut-Médoc,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Listrac-Médoc,AOC,Red,Merlot; Cabernet Sauvignon
France,Bordeaux (Left Bank),Margaux,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Médoc,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Moulis-en-Médoc,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Pauillac,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Pessac-Léognan,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Pessac-Léognan Blanc,AOC,White,Sauvignon Blanc; Sémillon
France,Bordeaux (Left Bank),Saint-Estèphe,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Saint-Julien,AOC,Red,Cabernet Sauvignon; Merlot
France,Bordeaux (Left Bank),Sauternes,AOC,Sweet White,Sémillon; Sauvignon Blanc; Muscadelle
France,Bordeaux (Right Bank),Blaye-Côtes de Bordeaux,AOC,Red,Merlot; Cabernet Sauvignon
France,Bordeaux (Right Bank),Cadillac-Côtes de Bordeaux,AOC,Red,Merlot; Cabernet Sauvignon
France,Bordeaux (Right Bank),Canon-Fronsac,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Castillon-Côtes de Bordeaux,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Côtes de Bourg,AOC,Red,Merlot; Malbec
France,Bordeaux (Right Bank),Francs-Côtes de Bordeaux,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Fronsac,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Lalande-de-Pomerol,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Lussac-Saint-Émilion,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Montagne-Saint-Émilion,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Pomerol,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Puisseguin-Saint-Émilion,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Saint-Émilion,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Saint-Émilion Grand Cru,AOC,Red,Merlot; Cabernet Franc
France,Bordeaux (Right Bank),Saint-Georges-Saint-Émilion,AOC,Red,Merlot; Cabernet Franc
France,Burgundy,Bourgogne,AOC,Red,Pinot Noir
France,Burgundy,Bourgogne Aligoté,AOC,White,Aligoté
France,Burgundy,Bourgogne Blanc,AOC,White,Chardonnay
France,Burgundy,Bourgogne Passe-Tout-Grains,AOC,Red,Gamay; Pinot Noir
France,Burgundy,Coteaux Bourguignons,AOC,Red,Gamay; Pinot Noir
France,Burgundy,Crémant de Bourgogne,AOC,Sparkling,Chardonnay; Pinot Noir
France,Burgundy (Chablis),Chablis,AOC,White,Chardonnay
France,Burgundy (Chablis),Chablis Grand Cru,AOC Grand Cru,White,Chardonnay
France,Burgundy (Chablis),Chablis Premier Cru,AOC Premier Cru,White,Chardonnay
France,Burgundy (Chablis),Irancy,AOC,Red,Pinot Noir; César
France,Burgundy (Chablis),Petit Chablis,AOC,White,Chardonnay
France,Burgundy (Chablis),Saint-Bris,AOC,White,Sauvignon Blanc
France,Burgundy (Côte Chalonnaise),Bouzeron,AOC,White,Aligoté
France,Burgundy (Côte Chalonnaise),Givry,AOC,Red,Pinot Noir
France,Burgundy (Côte Chalonnaise),Mercurey,AOC,Red,Pinot Noir
France,Burgundy (Côte Chalonnaise),Montagny,AOC,White,Chardonnay
France,Burgundy (Côte Chalonnaise),Rully,AOC,White,Chardonnay
France,Burgundy (Côte de Beaune),Aloxe-Corton,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Auxey-Duresses,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Bâtard-Montrachet,AOC Grand Cru,White,Chardonnay
France,Burgundy (Côte de Beaune),Beaune,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Bienvenues-Bâtard-Montrachet,AOC Grand Cru,White,Chardonnay
France,Burgundy (Côte de Beaune),Blagny,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Chassagne-Montrachet,AOC,White,Chardonnay
France,Burgundy (Côte de Beaune),Chevalier-Montrachet,AOC Grand Cru,White,Chardonnay
France,Burgundy (Côte de Beaune),Chorey-lès-Beaune,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Corton,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Corton-Charlemagne,AOC Grand Cru,White,Chardonnay
France,Burgundy (Côte de Beaune),Côte de Beaune-Villages,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Criots-Bâtard-Montrachet,AOC Grand Cru,White,Chardonnay
France,Burgundy (Côte de Beaune),Hautes-Côtes de Beaune,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Ladoix,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Maranges,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Meursault,AOC,White,Chardonnay
France,Burgundy (Côte de Beaune),Monthélie,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Montrachet,AOC Grand Cru,White,Chardonnay
France,Burgundy (Côte de Beaune),Pernand-Vergelesses,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Pommard,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Puligny-Montrachet,AOC,White,Chardonnay
France,Burgundy (Côte de Beaune),Saint-Aubin,AOC,White,Chardonnay
France,Burgundy (Côte de Beaune),Saint-Romain,AOC,White,Chardonnay
France,Burgundy (Côte de Beaune),Santenay,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Savigny-lès-Beaune,AOC,Red,Pinot Noir
France,Burgundy (Côte de Beaune),Volnay,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Bonnes-Mares,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Chambertin,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Chambertin-Clos de Bèze,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Chambolle-Musigny,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Chapelle-Chambertin,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Charmes-Chambertin,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Clos de la Roche,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Clos de Tart,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Clos de Vougeot,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Clos des Lambrays,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Clos Saint-Denis,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Côte de Nuits-Villages,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Échézeaux,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Fixin,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Gevrey-Chambertin,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Grands Échézeaux,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Griotte-Chambertin,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Hautes-Côtes de Nuits,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),La Grande Rue,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),La Romanée,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),La Tâche,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Latricières-Chambertin,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Marsannay,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Mazis-Chambertin,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Mazoyères-Chambertin,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Morey-Saint-Denis,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Musigny,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Nuits-Saint-Georges,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Richebourg,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Romanée-Conti,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Romanée-Saint-Vivant,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Ruchottes-Chambertin,AOC Grand Cru,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Vosne-Romanée,AOC,Red,Pinot Noir
France,Burgundy (Côte de Nuits),Vougeot,AOC,Red,Pinot Noir
France,Burgundy (Mâconnais),Mâcon,AOC,White,Chardonnay
France,Burgundy (Mâconnais),Mâcon-Villages,AOC,White,Chardonnay
France,Burgundy (Mâconnais),Pouilly-Fuissé,AOC,White,Chardonnay
France,Burgundy (Mâconnais),Pouilly-Loché,AOC,White,Chardonnay
France,Burgundy (Mâconnais),Pouilly-Vinzelles,AOC,White,Chardonnay
France,Burgundy (Mâconnais),Saint-Véran,AOC,White,Chardonnay
France,Burgundy (Mâconnais),Viré-Clessé,AOC,White,Chardonnay
France,Champagne,Ambonnay,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Avize,Grand Cru village,Sparkling,Chardonnay
France,Champagne,Aÿ,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Beaumont-sur-Vesle,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Bouzy,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Champagne,AOC,Sparkling,Chardonnay; Pinot Noir; Meunier
France,Champagne,Champagne Blanc de Blancs,AOC,Sparkling,Chardonnay
France,Champagne,Champagne Blanc de Noirs,AOC,Sparkling,Pinot Noir; Meunier
France,Champagne,Champagne Rosé,AOC,Sparkling Rosé,Pinot Noir; Chardonnay
France,Champagne,Chouilly,Grand Cru village,Sparkling,Chardonnay
France,Champagne,Coteaux Champenois,AOC,Red,Pinot Noir
France,Champagne,Cramant,Grand Cru village,Sparkling,Chardonnay
France,Champagne,Le Mesnil-sur-Oger,Grand Cru village,Sparkling,Chardonnay
France,Champagne,Louvois,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Mailly-Champagne,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Oger,Grand Cru village,Sparkling,Chardonnay
France,Champagne,Oiry,Grand Cru village,Sparkling,Chardonnay
France,Champagne,Puisieulx,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Rosé des Riceys,AOC,Rosé,Pinot Noir
France,Champagne,Sillery,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Tours-sur-Marne,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Verzenay,Grand Cru village,Sparkling,Pinot Noir
France,Champagne,Verzy,Grand Cru village,Sparkling,Pinot Noir
France,Corsica,Ajaccio,AOC,Red,Sciaccarello
France,Corsica,Muscat du Cap Corse,AOC,Fortified,Muscat Blanc à Petits Grains
France,Corsica,Patrimonio,AOC,Red,Nielluccio
France,Corsica,Vin de Corse,AOC,Red,Nielluccio; Sciaccarello; Grenache
France,Corsica,Vin de Corse Calvi,AOC,Rosé,Nielluccio; Grenache
France,Corsica,Vin de Corse Figari,AOC,Red,Nielluccio; Sciaccarello
France,Corsica,Vin de Corse Porto-Vecchio,AOC,White,Vermentinu
France,Corsica,Vin de Corse Sartène,AOC,Red,Sciaccarello; Nielluccio
France,Jura,Arbois,AOC,Red,Poulsard; Trousseau; Pinot Noir
France,Jura,Arbois Pupillin,AOC,Red,Poulsard
France,Jura,Château-Chalon,AOC,Vin Jaune,Savagnin
France,Jura,Côtes du Jura,AOC,White,Savagnin; Chardonnay
France,Jura,Crémant du Jura,AOC,Sparkling,Chardonnay; Pinot Noir
France,Jura,L'Étoile,AOC,White,Chardonnay; Savagnin
France,Jura,Macvin du Jura,AOC,Fortified,Chardonnay; Savagnin
France,Jura,Vin de Paille du Jura,AOC,Sweet White,Savagnin; Chardonnay; Poulsard
France,Jura,Vin Jaune,AOC,Vin Jaune,Savagnin
France,Languedoc,Blanquette de Limoux,AOC,Sparkling,Mauzac
France,Languedoc,Blanquette Méthode Ancestrale,AOC,Sparkling,Mauzac
France,Languedoc,Cabardès,AOC,Red,Syrah; Merlot; Cabernet Sauvignon
France,Languedoc,Cabrières,AOC,Rosé,Cinsault; Syrah
France,Languedoc,Clairette du Languedoc,AOC,White,Clairette
France,Languedoc,Corbières,AOC,Red,Carignan; Grenache; Syrah
France,Languedoc,Corbières-Boutenac,AOC,Red,Carignan; Mourvèdre
France,Languedoc,Crémant de Limoux,AOC,Sparkling,Chardonnay; Chenin Blanc
France,Languedoc,Faugères,AOC,Red,Syrah; Grenache; Mourvèdre
France,Languedoc,Fitou,AOC,Red,Carignan; Grenache; Mourvèdre
France,Languedoc,Grés de Montpellier,AOC,Red,Syrah; Grenache; Mourvèdre
France,Languedoc,La Clape,AOC,Red,Syrah; Grenache; Mourvèdre
France,Languedoc,Languedoc,AOC,Red,Grenache; Syrah; Mourvèdre
France,Languedoc,Limoux,AOC,White,Chardonnay; Chenin Blanc; Mauzac
France,Languedoc,Malepère,AOC,Red,Merlot; Cabernet Franc
France,Languedoc,Minervois,AOC,Red,Syrah; Grenache; Carignan
France,Languedoc,Minervois La Livinière,AOC,Red,Syrah; Grenache; Mourvèdre
France,Languedoc,Muscat de Frontignan,AOC,Fortified,Muscat Blanc à Petits Grains
France,Languedoc,Muscat de Lunel,AOC,Fortified,Muscat Blanc à Petits Grains
France,Languedoc,Muscat de Mireval,AOC,Fortified,Muscat Blanc à Petits Grains
France,Languedoc,Muscat de Saint-Jean-de-Minervois,AOC,Fortified,Muscat Blanc à Petits Grains
France,Languedoc,Pic Saint-Loup,AOC,Red,Syrah; Grenache; Mourvèdre
France,Languedoc,Picpoul de Pinet,AOC,White,Piquepoul Blanc
France,Languedoc,Saint-Chinian,AOC,Red,Syrah; Grenache; Mourvèdre
France,Languedoc,Saint-Georges-d'Orques,AOC,Red,Syrah; Grenache
France,Languedoc,Terrasses du Larzac,AOC,Red,Syrah; Grenache; Cinsault
France,Loire (Anjou-Saumur),Anjou,AOC,Red,Cabernet Franc
France,Loire (Anjou-Saumur),Anjou Blanc,AOC,White,Chenin Blanc
France,Loire (Anjou-Saumur),Anjou-Villages,AOC,Red,Cabernet Franc
France,Loire (Anjou-Saumur),Anjou-Villages Brissac,AOC,Red,Cabernet Franc
France,Loire (Anjou-Saumur),Bonnezeaux,AOC,Sweet White,Chenin Blanc
France,Loire (Anjou-Saumur),Cabernet d'Anjou,AOC,Rosé,Cabernet Franc; Cabernet Sauvignon
France,Loire (Anjou-Saumur),Chaume,AOC Premier Cru,Sweet White,Chenin Blanc
France,Loire (Anjou-Saumur),Coteaux de l'Aubance,AOC,Sweet White,Chenin Blanc
France,Loire (Anjou-Saumur),Coteaux de Saumur,AOC,Sweet White,Chenin Blanc
France,Loire (Anjou-Saumur),Coteaux du Layon,AOC,Sweet White,Chenin Blanc
France,Loire (Anjou-Saumur),Coulée de Serrant,AOC,White,Chenin Blanc
France,Loire (Anjou-Saumur),Crémant de Loire,AOC,Sparkling,Chenin Blanc; Cabernet Franc
France,Loire (Anjou-Saumur),Quarts de Chaume,AOC Grand Cru,Sweet White,Chenin Blanc
France,Loire (Anjou-Saumur),Rosé d'Anjou,AOC,Rosé,Grolleau; Gamay
France,Loire (Anjou-Saumur),Rosé de Loire,AOC,Rosé,Cabernet Franc; Grolleau
France,Loire (Anjou-Saumur),Saumur,AOC,Red,Cabernet Franc
France,Loire (Anjou-Saumur),Saumur Blanc,AOC,White,Chenin Blanc
France,Loire (Anjou-Saumur),Saumur Brut,AOC,Sparkling,Chenin Blanc
France,Loire (Anjou-Saumur),Saumur-Champigny,AOC,Red,Cabernet Franc
France,Loire (Anjou-Saumur),Savennières,AOC,White,Chenin Blanc
France,Loire (Anjou-Saumur),Savennières Roche aux Moines,AOC,White,Chenin Blanc
France,Loire (Auvergne),Côte Roannaise,AOC,Red,Gamay
France,Loire (Auvergne),Côtes d'Auvergne,AOC,Red,Gamay; Pinot Noir
France,Loire (Auvergne),Côtes du Forez,AOC,Red,Gamay
France,Loire (Auvergne),Saint-Pourçain,AOC,Red,Gamay; Pinot Noir
France,Loire (Central),Châteaumeillant,AOC,Red,Gamay; Pinot Noir
France,Loire (Central),Coteaux du Giennois,AOC,White,Sauvignon Blanc
France,Loire (Central),Menetou-Salon,AOC,White,Sauvignon Blanc
France,Loire (Central),Pouilly-Fumé,AOC,White,Sauvignon Blanc
France,Loire (Central),Pouilly-sur-Loire,AOC,White,Chasselas
France,Loire (Central),Quincy,AOC,White,Sauvignon Blanc
France,Loire (Central),Reuilly,AOC,White,Sauvignon Blanc
France,Loire (Central),Sancerre,AOC,White,Sauvignon Blanc
France,Loire (Central),Sancerre Rouge,AOC,Red,Pinot Noir
France,Loire (Pays Nantais),Fiefs Vendéens,AOC,Red,Pinot Noir; Cabernet Franc
France,Loire (Pays Nantais),Gros Plant du Pays Nantais,AOC,White,Folle Blanche
France,Loire (Pays Nantais),Muscadet,AOC,White,Melon de Bourgogne
France,Loire (Pays Nantais),Muscadet Coteaux de la Loire,AOC,White,Melon de Bourgogne
France,Loire (Pays Nantais),Muscadet Côtes de Grandlieu,AOC,White,Melon de Bourgogne
France,Loire (Pays Nantais),Muscadet Sèvre et Maine,AOC,White,Melon de Bourgogne
France,Loire (Touraine),Bourgueil,AOC,Red,Cabernet Franc
France,Loire (Touraine),Cheverny,AOC,White,Sauvignon Blanc; Chardonnay
France,Loire (Touraine),Chinon,AOC,Red,Cabernet Franc
France,Loire (Touraine),Coteaux du Loir,AOC,Red,Pineau d'Aunis
France,Loire (Touraine),Coteaux du Vendômois,AOC,Rosé,Pineau d'Aunis
France,Loire (Touraine),Cour-Cheverny,AOC,White,Romorantin
France,Loire (Touraine),Jasnières,AOC,White,Chenin Blanc
France,Loire (Touraine),Montlouis-sur-Loire,AOC,White,Chenin Blanc
France,Loire (Touraine),Saint-Nicolas-de-Bourgueil,AOC,Red,Cabernet Franc
France,Loire (Touraine),Touraine,AOC,White,Sauvignon Blanc
France,Loire (Touraine),Touraine-Amboise,AOC,Red,Côt; Cabernet Franc
France,Loire (Touraine),Touraine-Azay-le-Rideau,AOC,White,Chenin Blanc
France,Loire (Touraine),Touraine-Chenonceaux,AOC,White,Sauvignon Blanc
France,Loire (Touraine),Touraine-Mesland,AOC,Red,Gamay; Côt
France,Loire (Touraine),Touraine-Oisly,AOC,White,Sauvignon Blanc
France,Loire (Touraine),Valençay,AOC,White,Sauvignon Blanc
France,Loire (Touraine),Vouvray,AOC,White,Chenin Blanc
France,Lorraine,Côtes de Toul,AOC,Rosé,Gamay; Pinot Noir
France,Lorraine,Moselle,AOC,White,Auxerrois; Pinot Gris
France,National,IGP Côtes de Gascogne,IGP,White,Colombard; Ugni Blanc
France,National,IGP Île de Beauté,IGP,Red,Nielluccio; Syrah
France,National,IGP Méditerranée,IGP,Rosé,Grenache; Cinsault
France,National,IGP Pays d'Oc,IGP,Red,Merlot; Syrah; Cabernet Sauvignon
France,National,IGP Val de Loire,IGP,White,Sauvignon Blanc; Chardonnay
France,National,Vin de France,VDF,Various,Various
France,Provence,Bandol,AOC,Red,Mourvèdre; Grenache
France,Provence,Bellet,AOC,White,Rolle; Braquet
France,Provence,Cassis,AOC,White,Marsanne; Clairette
France,Provence,Coteaux d'Aix-en-Provence,AOC,Rosé,Grenache; Syrah; Cinsault
France,Provence,Coteaux Varois en Provence,AOC,Rosé,Grenache; Syrah
France,Provence,Côtes de Provence,AOC,Rosé,Grenache; Cinsault; Syrah
France,Provence,Côtes de Provence Fréjus,AOC,Rosé,Grenache; Tibouren
France,Provence,Côtes de Provence La Londe,AOC,Rosé,Grenache; Cinsault
France,Provence,Côtes de Provence Notre-Dame des Anges,AOC,Rosé,Grenache; Cinsault
France,Provence,Côtes de Provence Pierrefeu,AOC,Rosé,Grenache; Cinsault
France,Provence,Côtes de Provence Sainte-Victoire,AOC,Rosé,Grenache; Syrah
