country|region|wine|tier|style|grapes
France|Savoie & Bugey|Bugey|AOC|White|Chardonnay; Altesse
France|Savoie & Bugey|Bugey-Cerdon|AOC|Sparkling Rosé|Gamay; Poulsard
France|Corsica|Patrimonio|AOC|Red|Nielluccio
France|Corsica|Ajaccio|AOC|Red|Sciaccarello
France|Corsica|Vin de Corse|AOC|Red|Nielluccio; Sciaccarello; Grenache
France|Corsica|Vin de Corse Figari|AOC|Red|Nielluccio; Sciaccarello
France|Corsica|Vin de Corse Porto-Vecchio|AOC|White|Vermentinu
France|Corsica|Vin de Corse Sartène|AOC|Red|Sciaccarello; Nielluccio
France|Corsica|Vin de Corse Calvi|AOC|Rosé|Nielluccio; Grenache
France|Corsica|Muscat du Cap Corse|AOC|Fortified|Muscat Blanc à Petits Grains
France|Lorraine|Côtes de Toul|AOC|Rosé|Gamay; Pinot Noir
France|Lorraine|Moselle|AOC|White|Auxerrois; Pinot Gris
France|National|Vin de France|VDF|Various|Various
France|National|IGP Pays d'Oc|IGP|Red|Merlot; Syrah; Cabernet Sauvignon
France|National|IGP Val de Loire|IGP|White|Sauvignon Blanc; Chardonnay
France|National|IGP Méditerranée|IGP|Rosé|Grenache; Cinsault
France|National|IGP Côtes de Gascogne|IGP|White|Colombard; Ugni Blanc
France|National|IGP Île de Beauté|IGP|Red|Nielluccio; Syrah
Italy|Piedmont|Barolo|DOCG|Red|Nebbiolo
Italy|Piedmont|Barbaresco|DOCG|Red|Nebbiolo
Italy|Piedmont|Roero|DOCG|Red|Nebbiolo
Italy|Piedmont|Roero Arneis|DOCG|White|Arneis
Italy|Piedmont|Barbera d'Asti|DOCG|Red|Barbera
Italy|Piedmont|Nizza|DOCG|Red|Barbera
Italy|Piedmont|Barbera del Monferrato Superiore|DOCG|Red|Barbera
Italy|Piedmont|Barbera d'Alba|DOC|Red|Barbera
Italy|Piedmont|Dolcetto d'Alba|DOC|Red|Dolcetto
Italy|Piedmont|Dogliani|DOCG|Red|Dolcetto
Italy|Piedmont|Dolcetto di Diano d'Alba|DOCG|Red|Dolcetto
Italy|Piedmont|Dolcetto di Ovada Superiore|DOCG|Red|Dolcetto
Italy|Piedmont|Gattinara|DOCG|Red|Nebbiolo
Italy|Piedmont|Ghemme|DOCG|Red|Nebbiolo
Italy|Piedmont|Lessona|DOC|Red|Nebbiolo
Italy|Piedmont|Bramaterra|DOC|Red|Nebbiolo; Croatina
Italy|Piedmont|Boca|DOC|Red|Nebbiolo; Vespolina
Italy|Piedmont|Carema|DOC|Red|Nebbiolo
Italy|Piedmont|Gavi|DOCG|White|Cortese
Italy|Piedmont|Erbaluce di Caluso|DOCG|White|Erbaluce
Italy|Piedmont|Caluso Passito|DOCG|Sweet White|Erbaluce
Italy|Piedmont|Ruchè di Castagnole Monferrato|DOCG|Red|Ruchè
Italy|Piedmont|Brachetto d'Acqui|DOCG|Sparkling Red|Brachetto
Italy|Piedmont|Asti Spumante|DOCG|Sparkling|Moscato Bianco
Italy|Piedmont|Moscato d'Asti|DOCG|Sparkling|Moscato Bianco
Italy|Piedmont|Alta Langa|DOCG|Sparkling|Pinot Nero; Chardonnay
Italy|Piedmont|Grignolino d'Asti|DOC|Red|Grignolino
Italy|Piedmont|Grignolino del Monferrato Casalese|DOC|Red|Grignolino
Italy|Piedmont|Freisa d'Asti|DOC|Red|Freisa
Italy|Piedmont|Freisa di Chieri|DOC|Red|Freisa
Italy|Piedmont|Langhe Nebbiolo|DOC|Red|Nebbiolo
Italy|Piedmont|Nebbiolo d'Alba|DOC|Red|Nebbiolo
Italy|Piedmont|Monferrato|DOC|Red|Barbera; Nebbiolo
Italy|Piedmont|Colli Tortonesi Timorasso|DOC|White|Timorasso
Italy|Piedmont|Verduno Pelaverga|DOC|Red|Pelaverga Piccolo
Italy|Piedmont|Cortese dell'Alto Monferrato|DOC|White|Cortese
Italy|Piedmont|Loazzolo|DOC|Sweet White|Moscato Bianco
Italy|Piedmont|Valli Ossolane|DOC|Red|Nebbiolo
Italy|Valle d'Aosta|Valle d'Aosta|DOC|Red|Petit Rouge; Fumin; Nebbiolo
Italy|Valle d'Aosta|Blanc de Morgex et de La Salle|DOC|White|Prié Blanc
Italy|Valle d'Aosta|Torrette|DOC|Red|Petit Rouge
Italy|Valle d'Aosta|Chambave Muscat|DOC|White|Moscato Bianco
Italy|Valle d'Aosta|Donnas|DOC|Red|Nebbiolo
Italy|Lombardy|Franciacorta|DOCG|Sparkling|Chardonnay; Pinot Nero
Italy|Lombardy|Franciacorta Satèn|DOCG|Sparkling|Chardonnay
Italy|Lombardy|Valtellina Superiore|DOCG|Red|Chiavennasca
Italy|Lombardy|Sforzato di Valtellina|DOCG|Red|Chiavennasca
Italy|Lombardy|Rosso di Valtellina|DOC|Red|Chiavennasca
Italy|Lombardy|Oltrepò Pavese Metodo Classico|DOCG|Sparkling|Pinot Nero
Italy|Lombardy|Oltrepò Pavese|DOC|Red|Croatina; Barbera; Pinot Nero
Italy|Lombardy|Bonarda dell'Oltrepò Pavese|DOC|Red|Croatina
Italy|Lombardy|Moscato di Scanzo|DOCG|Sweet Red|Moscato di Scanzo
Italy|Lombardy|Lugana|DOC|White|Turbiana
Italy|Lombardy|Curtefranca|DOC|Red|Cabernet Sauvignon; Merlot
Italy|Lombardy|Valcalepio|DOC|Red|Merlot; Cabernet Sauvignon
Italy|Lombardy|Garda|DOC|White|Garganega; Chardonnay
Italy|Lombardy|San Colombano al Lambro|DOC|Red|Croatina; Barbera
Italy|Veneto|Amarone della Valpolicella|DOCG|Red|Corvina; Rondinella; Molinara
Italy|Veneto|Recioto della Valpolicella|DOCG|Sweet Red|Corvina; Rondinella
Italy|Veneto|Valpolicella|DOC|Red|Corvina; Rondinella; Molinara
Italy|Veneto|Valpolicella Ripasso|DOC|Red|Corvina; Rondinella
Italy|Veneto|Valpolicella Classico|DOC|Red|Corvina; Rondinella
Italy|Veneto|Bardolino|DOC|Red|Corvina; Rondinella
Italy|Veneto|Bardolino Superiore|DOCG|Red|Corvina; Rondinella
Italy|Veneto|Bardolino Chiaretto|DOC|Rosé|Corvina; Rondinella
Italy|Veneto|Soave|DOC|White|Garganega; Trebbiano di Soave
Italy|Veneto|Soave Classico|DOC|White|Garganega
Italy|Veneto|Soave Superiore|DOCG|White|Garganega
Italy|Veneto|Recioto di Soave|DOCG|Sweet White|Garganega
Italy|Veneto|Prosecco|DOC|Sparkling|Glera
Italy|Veneto|Conegliano Valdobbiadene Prosecco Superiore|DOCG|Sparkling|Glera
Italy|Veneto|Valdobbiadene Superiore di Cartizze|DOCG|Sparkling|Glera
Italy|Veneto|Asolo Prosecco|DOCG|Sparkling|Glera
Italy|Veneto|Colli Asolani|DOC|Red|Merlot; Cabernet Sauvignon
Italy|Veneto|Bianco di Custoza|DOC|White|Garganega; Trebbiano
Italy|Veneto|Gambellara|DOC|White|Garganega
Italy|Veneto|Recioto di Gambellara|DOCG|Sweet White|Garganega
Italy|Veneto|Colli Euganei|DOC|Red|Merlot; Cabernet Sauvignon
Italy|Veneto|Colli Euganei Fior d'Arancio|DOCG|Sweet White|Moscato Giallo
Italy|Veneto|Breganze|DOC|Red|Merlot; Cabernet Sauvignon
Italy|Veneto|Torcolato di Breganze|DOC|Sweet White|Vespaiola
Italy|Veneto|Lessini Durello|DOC|Sparkling|Durella
Italy|Veneto|Piave|DOC|Red|Raboso; Merlot
Italy|Veneto|Piave Malanotte|DOCG|Red|Raboso Piave
Italy|Veneto|Bagnoli Friularo|DOCG|Red|Raboso Piave
Italy|Veneto|Arcole|DOC|White|Garganega; Pinot Grigio
Italy|Veneto|Montello Rosso|DOCG|Red|Cabernet Sauvignon; Merlot
Italy|Trentino-Alto Adige|Alto Adige (Südtirol)|DOC|White|Pinot Grigio; Gewürztraminer; Sauvignon
Italy|Trentino-Alto Adige|Alto Adige Terlano|DOC|White|Pinot Bianco; Chardonnay
Italy|Trentino-Alto Adige|Alto Adige Valle Isarco|DOC|White|Sylvaner; Kerner; Riesling
Italy|Trentino-Alto Adige|Santa Maddalena|DOC|Red|Schiava; Lagrein
Italy|Trentino-Alto Adige|Lago di Caldaro (Kalterersee)|DOC|Red|Schiava
Italy|Trentino-Alto Adige|Alto Adige Lagrein|DOC|Red|Lagrein
Italy|Trentino-Alto Adige|Trentino|DOC|White|Chardonnay; Pinot Grigio
Italy|Trentino-Alto Adige|Trento|DOC|Sparkling|Chardonnay; Pinot Nero
Italy|Trentino-Alto Adige|Teroldego Rotaliano|DOC|Red|Teroldego
Italy|Trentino-Alto Adige|Trentino Marzemino|DOC|Red|Marzemino
Italy|Trentino-Alto Adige|Vino Santo Trentino|DOC|Sweet White|Nosiola
Italy|Trentino-Alto Adige|Casteller|DOC|Red|Schiava; Merlot
Italy|Friuli-Venezia Giulia|Collio Goriziano|DOC|White|Friulano; Ribolla Gialla; Sauvignon
Italy|Friuli-Venezia Giulia|Friuli Colli Orientali|DOC|White|Friulano; Ribolla Gialla
Italy|Friuli-Venezia Giulia|Ramandolo|DOCG|Sweet White|Verduzzo Friulano
Italy|Friuli-Venezia Giulia|Colli Orientali del Friuli Picolit|DOCG|Sweet White|Picolit
Italy|Friuli-Venezia Giulia|Rosazzo|DOCG|White|Friulano; Ribolla Gialla
Italy|Friuli-Venezia Giulia|Friuli Isonzo|DOC|White|Friulano; Pinot Grigio
Italy|Friuli-Venezia Giulia|Friuli Grave|DOC|White|Pinot Grigio; Friulano
Italy|Friuli-Venezia Giulia|Carso|DOC|Red|Terrano; Refosco
Italy|Friuli-Venezia Giulia|Carso Vitovska|DOC|Orange|Vitovska
Italy|Friuli-Venezia Giulia|Friuli Aquileia|DOC|White|Friulano; Pinot Grigio
Italy|Friuli-Venezia Giulia|Friuli Annia|DOC|White|Friulano; Chardonnay
Italy|Friuli-Venezia Giulia|Friuli Latisana|DOC|White|Pinot Grigio; Friulano
Italy|Friuli-Venezia Giulia|Lison|DOCG|White|Friulano
Italy|Friuli-Venezia Giulia|Refosco dal Peduncolo Rosso|DOC|Red|Refosco dal Peduncolo Rosso
Italy|Friuli-Venezia Giulia|Schioppettino di Prepotto|DOC|Red|Schioppettino
Italy|Emilia-Romagna|Lambrusco di Sorbara|DOC|Sparkling Red|Lambrusco di Sorbara
Italy|Emilia-Romagna|Lambrusco Grasparossa di Castelvetro|DOC|Sparkling Red|Lambrusco Grasparossa
Italy|Emilia-Romagna|Lambrusco Salamino di Santa Croce|DOC|Sparkling Red|Lambrusco Salamino
Italy|Emilia-Romagna|Lambrusco Reggiano|DOC|Sparkling Red|Lambrusco Marani; Lambrusco Salamino
Italy|Emilia-Romagna|Lambrusco Mantovano|DOC|Sparkling Red|Lambrusco Viadanese
Italy|Emilia-Romagna|Romagna Sangiovese|DOC|Red|Sangiovese
Italy|Emilia-Romagna|Romagna Albana|DOCG|White|Albana
Italy|Emilia-Romagna|Colli Bolognesi Pignoletto|DOCG|White|Grechetto Gentile
Italy|Emilia-Romagna|Gutturnio|DOC|Red|Barbera; Croatina
Italy|Emilia-Romagna|Colli Piacentini|DOC|White|Malvasia; Ortrugo
Italy|Emilia-Romagna|Ortrugo dei Colli Piacentini|DOC|White|Ortrugo
Italy|Emilia-Romagna|Romagna Pagadebit|DOC|White|Bombino Bianco
Italy|Emilia-Romagna|Romagna Cagnina|DOC|Sweet Red|Terrano
Italy|Tuscany|Chianti|DOCG|Red|Sangiovese
Italy|Tuscany|Chianti Classico|DOCG|Red|Sangiovese
Italy|Tuscany|Chianti Classico Gran Selezione|DOCG|Red|Sangiovese
Italy|Tuscany|Chianti Rufina|DOCG|Red|Sangiovese
Italy|Tuscany|Chianti Colli Senesi|DOCG|Red|Sangiovese
Italy|Tuscany|Brunello di Montalcino|DOCG|Red|Sangiovese Grosso
Italy|Tuscany|Rosso di Montalcino|DOC|Red|Sangiovese
Italy|Tuscany|Moscadello di Montalcino|DOC|Sweet White|Moscato Bianco
Italy|Tuscany|Vino Nobile di Montepulciano|DOCG|Red|Prugnolo Gentile
Italy|Tuscany|Rosso di Montepulciano|DOC|Red|Sangiovese
Italy|Tuscany|Vernaccia di San Gimignano|DOCG|White|Vernaccia di San Gimignano
Italy|Tuscany|Carmignano|DOCG|Red|Sangiovese; Cabernet Sauvignon
Italy|Tuscany|Barco Reale di Carmignano|DOC|Red|Sangiovese; Cabernet Sauvignon
Italy|Tuscany|Bolgheri|DOC|Red|Cabernet Sauvignon; Merlot; Cabernet Franc
Italy|Tuscany|Bolgheri Sassicaia|DOC|Red|Cabernet Sauvignon; Cabernet Franc
Italy|Tuscany|Maremma Toscana|DOC|Red|Sangiovese; Cabernet Sauvignon; Merlot
Italy|Tuscany|Morellino di Scansano|DOCG|Red|Sangiovese
Italy|Tuscany|Montecucco Sangiovese|DOCG|Red|Sangiovese
Italy|Tuscany|Suvereto|DOCG|Red|Cabernet Sauvignon; Merlot
Italy|Tuscany|Val di Cornia Rosso|DOCG|Red|Sangiovese; Cabernet Sauvignon
Italy|Tuscany|Elba Aleatico Passito|DOCG|Sweet Red|Aleatico
Italy|Tuscany|Vin Santo del Chianti|DOC|Sweet White|Trebbiano; Malvasia
Italy|Tuscany|Vin Santo del Chianti Classico|DOC|Sweet White|Trebbiano; Malvasia
Italy|Tuscany|Vin Santo di Montepulciano|DOC|Sweet White|Trebbiano; Malvasia
Italy|Tuscany|Occhio di Pernice|DOC|Sweet Red|Sangiovese
Italy|Tuscany|Cortona|DOC|Red|Syrah
Italy|Tuscany|Montescudaio|DOC|Red|Sangiovese
Italy|Tuscany|Pomino|DOC|White|Chardonnay; Pinot Bianco
Italy|Tuscany|Terre di Pisa|DOC|Red|Sangiovese
Italy|Tuscany|Orcia|DOC|Red|Sangiovese
Italy|Tuscany|Toscana (Super Tuscan)|IGT|Red|Cabernet Sauvignon; Merlot; Sangiovese
Italy|Marche|Verdicchio dei Castelli di Jesi|DOC|White|Verdicchio
Italy|Marche|Castelli di Jesi Verdicchio Riserva|DOCG|White|Verdicchio
Italy|Marche|Verdicchio di Matelica|DOC|White|Verdicchio
Italy|Marche|Verdicchio di Matelica Riserva|DOCG|White|Verdicchio
Italy|Marche|Conero Riserva|DOCG|Red|Montepulciano
Italy|Marche|Rosso Conero|DOC|Red|Montepulciano
Italy|Marche|Rosso Piceno|DOC|Red|Montepulciano; Sangiovese
Italy|Marche|Offida Pecorino|DOCG|White|Pecorino
Italy|Marche|Offida Passerina|DOCG|White|Passerina
Italy|Marche|Vernaccia di Serrapetrona|DOCG|Sparkling Red|Vernaccia Nera
Italy|Marche|Lacrima di Morro d'Alba|DOC|Red|Lacrima
Italy|Marche|Bianchello del Metauro|DOC|White|Biancame
Italy|Umbria|Montefalco Sagrantino|DOCG|Red|Sagrantino
Italy|Umbria|Montefalco Rosso|DOC|Red|Sangiovese; Sagrantino
Italy|Umbria|Torgiano Rosso Riserva|DOCG|Red|Sangiovese
Italy|Umbria|Torgiano|DOC|Red|Sangiovese
Italy|Umbria|Orvieto|DOC|White|Grechetto; Trebbiano
Italy|Umbria|Orvieto Classico|DOC|White|Grechetto; Procanico
Italy|Umbria|Trebbiano Spoletino|DOC|White|Trebbiano Spoletino
Italy|Umbria|Colli Martani|DOC|White|Grechetto
Italy|Lazio|Frascati|DOC|White|Malvasia; Trebbiano
Italy|Lazio|Frascati Superiore|DOCG|White|Malvasia del Lazio
Italy|Lazio|Cannellino di Frascati|DOCG|Sweet White|Malvasia
Italy|Lazio|Cesanese del Piglio|DOCG|Red|Cesanese
Italy|Lazio|Est! Est!! Est!!! di Montefiascone|DOC|White|Trebbiano; Malvasia
Italy|Lazio|Marino|DOC|White|Malvasia; Trebbiano
Italy|Lazio|Aleatico di Gradoli|DOC|Sweet Red|Aleatico
Italy|Lazio|Cori|DOC|Red|Nero Buono; Montepulciano
Italy|Abruzzo|Montepulciano d'Abruzzo|DOC|Red|Montepulciano
Italy|Abruzzo|Montepulciano d'Abruzzo Colline Teramane|DOCG|Red|Montepulciano
Italy|Abruzzo|Trebbiano d'Abruzzo|DOC|White|Trebbiano Abruzzese
Italy|Abruzzo|Cerasuolo d'Abruzzo|DOC|Rosé|Montepulciano
Italy|Abruzzo|Abruzzo Pecorino|DOC|White|Pecorino
Italy|Abruzzo|Villamagna|DOC|Red|Montepulciano
Italy|Molise|Biferno|DOC|Red|Montepulciano; Aglianico
Italy|Molise|Tintilia del Molise|DOC|Red|Tintilia
Italy|Campania|Taurasi|DOCG|Red|Aglianico
Italy|Campania|Fiano di Avellino|DOCG|White|Fiano
Italy|Campania|Greco di Tufo|DOCG|White|Greco
Italy|Campania|Aglianico del Taburno|DOCG|Red|Aglianico
Italy|Campania|Falanghina del Sannio|DOC|White|Falanghina
Italy|Campania|Lacryma Christi del Vesuvio|DOC|Red|Piedirosso; Aglianico
Italy|Campania|Costa d'Amalfi|DOC|White|Falanghina; Biancolella
Italy|Campania|Ischia|DOC|White|Biancolella; Forastera
Italy|Campania|Capri|DOC|White|Falanghina; Greco
Italy|Campania|Falerno del Massico|DOC|Red|Aglianico; Piedirosso
Italy|Campania|Cilento|DOC|Red|Aglianico
Italy|Campania|Asprinio di Aversa|DOC|White|Asprinio
Italy|Campania|Penisola Sorrentina|DOC|Red|Piedirosso
Italy|Basilicata|Aglianico del Vulture|DOC|Red|Aglianico
Italy|Basilicata|Aglianico del Vulture Superiore|DOCG|Red|Aglianico
Italy|Basilicata|Matera|DOC|Red|Primitivo; Sangiovese
Italy|Puglia|Primitivo di Manduria|DOC|Red|Primitivo
Italy|Puglia|Primitivo di Manduria Dolce Naturale|DOCG|Sweet Red|Primitivo
Italy|Puglia|Castel del Monte Nero di Troia Riserva|DOCG|Red|Nero di Troia
Italy|Puglia|Castel del Monte Bombino Nero|DOCG|Rosé|Bombino Nero
Italy|Puglia|Castel del Monte|DOC|Red|Nero di Troia; Aglianico
Italy|Puglia|Salice Salentino|DOC|Red|Negroamaro
Italy|Puglia|Copertino|DOC|Red|Negroamaro
Italy|Puglia|Brindisi|DOC|Red|Negroamaro
Italy|Puglia|Squinzano|DOC|Red|Negroamaro
Italy|Puglia|Gioia del Colle|DOC|Red|Primitivo
Italy|Puglia|Locorotondo|DOC|White|Verdeca; Bianco d'Alessano
Italy|Puglia|Martina Franca|DOC|White|Verdeca
Italy|Puglia|Negroamaro di Terra d'Otranto|DOC|Red|Negroamaro
Italy|Puglia|Alezio|DOC|Rosé|Negroamaro
Italy|Puglia|Nardò|DOC|Red|Negroamaro; Malvasia Nera
Italy|Puglia|Salento|IGT|Red|Primitivo; Negroamaro
Italy|Calabria|Cirò|DOC|Red|Gaglioppo
Italy|Calabria|Greco di Bianco|DOC|Sweet White|Greco Bianco
Italy|Calabria|Savuto|DOC|Red|Gaglioppo; Magliocco
Italy|Calabria|Melissa|DOC|Red|Gaglioppo
Italy|Calabria|Terre di Cosenza|DOC|Red|Magliocco
Italy|Calabria|Lamezia|DOC|Red|Gaglioppo; Nerello
Italy|Sicily|Etna Rosso|DOC|Red|Nerello Mascalese; Nerello Cappuccio
Italy|Sicily|Etna Bianco|DOC|White|Carricante; Catarratto
Italy|Sicily|Etna Rosato|DOC|Rosé|Nerello Mascalese
Italy|Sicily|Cerasuolo di Vittoria|DOCG|Red|Nero d'Avola; Frappato
Italy|Sicily|Sicilia|DOC|Red|Nero d'Avola
Italy|Sicily|Marsala|DOC|Fortified|Grillo; Catarratto; Inzolia
Italy|Sicily|Passito di Pantelleria|DOC|Sweet White|Zibibbo
Italy|Sicily|Moscato di Pantelleria|DOC|Sweet White|Zibibbo
Italy|Sicily|Malvasia delle Lipari|DOC|Sweet White|Malvasia di Lipari
Italy|Sicily|Faro|DOC|Red|Nerello Mascalese; Nocera
Italy|Sicily|Vittoria|DOC|Red|Frappato; Nero d'Avola
Italy|Sicily|Noto|DOC|Red|Nero d'Avola
Italy|Sicily|Menfi|DOC|White|Inzolia; Chardonnay
Italy|Sicily|Alcamo|DOC|White|Catarratto
Italy|Sicily|Contea di Sclafani|DOC|Red|Nero d'Avola; Perricone
Italy|Sicily|Contessa Entellina|DOC|White|Ansonica; Chardonnay
Italy|Sicily|Eloro|DOC|Red|Nero d'Avola; Frappato
Italy|Sardinia|Vermentino di Gallura|DOCG|White|Vermentino
Italy|Sardinia|Vermentino di Sardegna|DOC|White|Vermentino
Italy|Sardinia|Cannonau di Sardegna|DOC|Red|Cannonau
Italy|Sardinia|Carignano del Sulcis|DOC|Red|Carignano
Italy|Sardinia|Vernaccia di Oristano|DOC|Fortified|Vernaccia di Oristano
Italy|Sardinia|Monica di Sardegna|DOC|Red|Monica
Italy|Sardinia|Malvasia di Bosa|DOC|Fortified|Malvasia di Sardegna
Italy|Sardinia|Nuragus di Cagliari|DOC|White|Nuragus
Italy|Sardinia|Nasco di Cagliari|DOC|Sweet White|Nasco
Italy|Sardinia|Moscato di Sardegna|DOC|Sweet White|Moscato Bianco
Italy|Sardinia|Girò di Cagliari|DOC|Sweet Red|Girò
Italy|Sardinia|Mandrolisai|DOC|Red|Bovale; Cannonau; Monica
Italy|Liguria|Cinque Terre|DOC|White|Bosco; Albarola; Vermentino
Italy|Liguria|Cinque Terre Sciacchetrà|DOC|Sweet White|Bosco; Albarola
Italy|Liguria|Rossese di Dolceacqua|DOC|Red|Rossese
Italy|Liguria|Riviera Ligure di Ponente|DOC|White|Pigato; Vermentino
Italy|Liguria|Colli di Luni|DOC|White|Vermentino
Italy|Liguria|Golfo del Tigullio|DOC|White|Vermentino; Bianchetta
Spain|Rioja|Rioja|DOCa|Red|Tempranillo; Garnacha; Graciano; Mazuelo
Spain|Rioja|Rioja Alta|DOCa|Red|Tempranillo; Graciano
Spain|Rioja|Rioja Alavesa|DOCa|Red|Tempranillo
Spain|Rioja|Rioja Oriental|DOCa|Red|Garnacha; Tempranillo
Spain|Rioja|Rioja Blanco|DOCa|White|Viura; Malvasía; Garnacha Blanca
Spain|Rioja|Rioja Gran Reserva|DOCa|Red|Tempranillo; Graciano
Spain|Castilla y León|Ribera del Duero|DO|Red|Tinto Fino
Spain|Castilla y León|Rueda|DO|White|Verdejo; Sauvignon Blanc
Spain|Castilla y León|Toro|DO|Red|Tinta de Toro
Spain|Castilla y León|Bierzo|DO|Red|Mencía
Spain|Castilla y León|Cigales|DO|Rosé|Tempranillo; Garnacha
Spain|Castilla y León|Arlanza|DO|Red|Tempranillo
Spain|Castilla y León|Arribes|DO|Red|Juan García
Spain|Castilla y León|Tierra de León|DO|Red|Prieto Picudo
Spain|Castilla y León|Sierra de Salamanca|DO|Red|Rufete
Spain|Castilla y León|Valles de Benavente|VC|Red|Prieto Picudo
Spain|Galicia|Rías Baixas|DO|White|Albariño
Spain|Galicia|Ribeiro|DO|White|Treixadura; Godello
Spain|Galicia|Ribeira Sacra|DO|Red|Mencía
Spain|Galicia|Valdeorras|DO|White|Godello
Spain|Galicia|Monterrei|DO|White|Godello; Treixadura
Spain|Catalonia|Priorat|DOQ|Red|Garnacha; Cariñena
Spain|Catalonia|Montsant|DO|Red|Garnacha; Cariñena
Spain|Catalonia|Penedès|DO|White|Xarel·lo; Macabeo; Parellada
Spain|Catalonia|Cava|DO|Sparkling|Macabeo; Xarel·lo; Parellada
Spain|Catalonia|Corpinnat|Private mark|Sparkling|Xarel·lo; Macabeo
Spain|Catalonia|Clàssic Penedès|DO|Sparkling|Xarel·lo; Macabeo
Spain|Catalonia|Conca de Barberà|DO|Red|Trepat
Spain|Catalonia|Costers del Segre|DO|Red|Tempranillo; Cabernet Sauvignon
Spain|Catalonia|Terra Alta|DO|White|Garnacha Blanca
Spain|Catalonia|Empordà|DO|Red|Garnacha; Cariñena
Spain|Catalonia|Alella|DO|White|Pansa Blanca
Spain|Catalonia|Pla de Bages|DO|Red|Picapoll; Cabernet Sauvignon
Spain|Catalonia|Tarragona|DO|White|Macabeo; Xarel·lo
Spain|Catalonia|Catalunya|DO|Red|Various
Spain|Navarra & Aragón|Navarra|DO|Rosé|Garnacha; Tempranillo
Spain|Navarra & Aragón|Somontano|DO|Red|Moristel; Tempranillo; Cabernet Sauvignon
Spain|Navarra & Aragón|Cariñena|DO|Red|Garnacha; Cariñena
Spain|Navarra & Aragón|Calatayud|DO|Red|Garnacha
Spain|Navarra & Aragón|Campo de Borja|DO|Red|Garnacha
Spain|Navarra & Aragón|Aragón|VT|Red|Garnacha
Spain|Basque Country|Getariako Txakolina|DO|White|Hondarrabi Zuri
Spain|Basque Country|Bizkaiko Txakolina|DO|White|Hondarrabi Zuri
Spain|Basque Country|Arabako Txakolina|DO|White|Hondarrabi Zuri
Spain|Levante|Utiel-Requena|DO|Red|Bobal
Spain|Levante|Valencia|DO|White|Merseguera; Moscatel
Spain|Levante|Alicante|DO|Red|Monastrell
Spain|Levante|Fondillón|DO|Fortified|Monastrell
Spain|Levante|Yecla|DO|Red|Monastrell
Spain|Levante|Jumilla|DO|Red|Monastrell
Spain|Levante|Bullas|DO|Red|Monastrell
Spain|Levante|Almansa|DO|Red|Garnacha Tintorera
Spain|Castilla-La Mancha|La Mancha|DO|Red|Cencibel; Airén
Spain|Castilla-La Mancha|Valdepeñas|DO|Red|Tempranillo
Spain|Castilla-La Mancha|Manchuela|DO|Red|Bobal
Spain|Castilla-La Mancha|Méntrida|DO|Red|Garnacha
Spain|Castilla-La Mancha|Uclés|DO|Red|Tempranillo
Spain|Castilla-La Mancha|Ribera del Júcar|DO|Red|Cencibel; Bobal
Spain|Castilla-La Mancha|Mondéjar|DO|Red|Tempranillo
Spain|Castilla-La Mancha|Dominio de Valdepusa|DO de Pago|Red|Syrah; Petit Verdot
Spain|Castilla-La Mancha|Finca Élez|DO de Pago|Red|Tempranillo; Cabernet Sauvignon
Spain|Castilla-La Mancha|Dehesa del Carrizal|DO de Pago|Red|Cabernet Sauvignon; Syrah
Spain|Castilla-La Mancha|Pago Guijoso|DO de Pago|Red|Cabernet Sauvignon
Spain|Extremadura|Ribera del Guadiana|DO|Red|Tempranillo; Garnacha
Spain|Madrid|Vinos de Madrid|DO|Red|Garnacha; Tempranillo
Spain|Andalusia|Jerez-Xérès-Sherry|DO|Fortified|Palomino; Pedro Ximénez; Moscatel
Spain|Andalusia|Fino|DO|Fortified|Palomino
Spain|Andalusia|Manzanilla de Sanlúcar|DO|Fortified|Palomino
Spain|Andalusia|Amontillado|DO|Fortified|Palomino
Spain|Andalusia|Oloroso|DO|Fortified|Palomino
Spain|Andalusia|Palo Cortado|DO|Fortified|Palomino
Spain|Andalusia|Pedro Ximénez Sherry|DO|Fortified|Pedro Ximénez
Spain|Andalusia|Cream Sherry|DO|Fortified|Palomino; Pedro Ximénez
Spain|Andalusia|Moscatel de Chipiona|DO|Fortified|Moscatel
Spain|Andalusia|Montilla-Moriles|DO|Fortified|Pedro Ximénez
Spain|Andalusia|Málaga|DO|Fortified|Pedro Ximénez; Moscatel
Spain|Andalusia|Sierras de Málaga|DO|Red|Romé; Syrah
Spain|Andalusia|Condado de Huelva|DO|White|Zalema
Spain|Andalusia|Lebrija|DO|Fortified|Palomino; Moscatel
Spain|Canary Islands|Lanzarote|DO|White|Malvasía Volcánica
Spain|Canary Islands|Tacoronte-Acentejo|DO|Red|Listán Negro
Spain|Canary Islands|Ycoden-Daute-Isora|DO|White|Listán Blanco
Spain|Canary Islands|Valle de la Orotava|DO|Red|Listán Negro
Spain|Canary Islands|Abona|DO|White|Listán Blanco
Spain|Canary Islands|Valle de Güímar|DO|White|Listán Blanco
Spain|Canary Islands|La Palma|DO|White|Listán Blanco; Negramoll
Spain|Canary Islands|El Hierro|DO|White|Vijariego
Spain|Canary Islands|La Gomera|DO|White|Forastera Gomera
Spain|Canary Islands|Gran Canaria|DO|Red|Listán Negro
Spain|Balearic Islands|Binissalem|DO|Red|Manto Negro
